19:40:53:454,0.04,0.08,2.46,,,,,,,,
19:40:53:457,0.12,0.14,2.07,,,,,,,,
19:40:53:459,0.16,0.19,5.07,,,,,,,,
19:40:53:462,0.21,0.24,5.52,,,,,,,,
19:40:53:464,0.24,0.28,11.24,,,,,,,,
19:40:53:467,0.28,0.29,3.25,,,,,,,,
19:40:53:470,0.32,0.33,3.1,,,,,,,,
19:40:53:472,0.34,0.35,3.94,,,,,,,,
19:40:53:475,0.36,0.38,4.58,,,,,,,,
19:40:53:477,0.39,0.4,1.46,,,,,,,,
19:40:53:480,0.41,0.42,7.06,,,,,,,,
19:40:53:483,0.44,0.46,7.44,,,,,,,,
19:40:53:486,0.46,0.47,2.19,,,,,,,,
19:40:53:488,0.48,0.49,2.08,,,,,,,,
19:40:53:491,0.51,0.52,7.22,,,,,,,,
19:40:53:494,0.54,0.55,8.94,,,,,,,,
19:40:53:496,0.56,0.57,5.94,,,,19:40:53:876,20,Pulso,Propulsiva:,1504
19:40:53:499,0.59,0.6,9.51,,,,19:40:53:876,,,,
19:40:53:502,0.61,0.63,7.56,,,,19:40:53:877,,,,
19:40:53:504,0.63,0.64,6.48,,,,19:40:53:879,0.68,,,
19:40:53:507,0.66,0.66,2.95,,,,19:40:53:882,0.71,,,
19:40:53:510,0.68,0.69,7.52,,,,19:40:53:884,1.26,,,
19:40:53:512,0.71,0.71,2.05,,,,,,,,
19:40:53:515,0.74,0.75,7.38,,,,,,,,
19:40:53:518,0.76,0.78,13.31,,,,,,,,
19:40:53:521,0.8,0.82,16.12,,,,,,,,
19:40:53:523,0.84,0.85,9.02,,,,,,,,
19:40:53:526,0.86,0.87,5.14,,,,,,,,
19:40:53:529,0.88,0.89,3.92,,,,,,,,
19:40:53:532,0.9,0.92,21.22,,,,,,,,
19:40:53:534,0.95,0.95,3.84,,,,,,,,
19:40:53:537,0.98,0.98,-2.12,,,,,,,,
19:40:53:540,0.99,0.99,-3.27,,,,,,,,
19:40:53:543,0.98,0.98,1.05,,,,,,,,
19:40:53:545,0.97,0.96,-1.02,,,,,,,,
19:40:53:548,0.96,0.98,18.69,,,,,,,,
19:40:53:551,0.99,0.97,-19.96,,,,,,,,
19:40:53:554,0.98,0.97,-13.74,,,,,,,,
19:40:53:557,0.97,0.96,-10.26,,,,,,,,
19:40:53:559,0.95,0.96,5.9,,,,,,,,
19:40:53:562,0.95,0.94,-5.73,,,,,,,,
19:40:53:565,0.97,1,26.12,,,,,,,,
19:40:53:568,1.01,1.01,-1.17,,,,,,,,
19:40:53:570,1.01,1.01,-3.48,,,,,,,,
19:40:53:573,1,1,1.13,,,,,,,,
19:40:53:576,1,1,-1.13,,,,,,,,
19:40:53:579,0.99,0.98,-2.17,,,,,,,,
19:40:53:581,0.98,0.97,-4.17,,,,,,,,
19:40:53:584,0.97,0.96,-4.08,,,,,,,,
19:40:53:587,0.95,0.94,-8.75,,,,,,,,
19:40:53:590,0.93,0.93,-4.56,,,,,,,,
19:40:53:593,0.92,0.91,-11.36,,,,,,,,
19:40:53:595,0.9,0.9,-2.49,,,,,,,,
19:40:53:598,0.89,0.88,-3.13,,,,,,,,
19:40:53:601,0.88,0.88,0,,,,,,,,
19:40:53:604,0.87,0.88,6.03,,,,,,,,
19:40:53:606,0.87,0.86,-8.13,,,,,,,,
19:40:53:609,0.86,0.86,-1.44,,,,,,,,
19:40:53:612,0.86,0.86,2.88,,,,,,,,
19:40:53:615,0.86,0.86,0.72,,,,,,,,
19:40:53:617,0.87,0.89,15.39,,,,,,,,
19:40:53:620,0.89,0.9,12.8,,,,,,,,
19:40:53:623,0.92,0.92,7.89,,,,,,,,
19:40:53:626,0.93,0.94,3.69,,,,,,,,
19:40:53:628,0.94,0.95,9.58,,,,,,,,
19:40:53:631,0.96,0.95,-0.98,,,,,,,,
19:40:53:634,0.96,0.96,3,,,,,,,,
19:40:53:636,0.97,0.97,-1.04,,,,,,,,
19:40:53:639,0.97,0.97,-2.09,,,,,,,,
19:40:53:642,0.97,0.98,5.25,,,,,,,,
19:40:53:645,0.97,0.98,1.05,,,,,,,,
19:40:53:647,0.98,0.98,5.33,,,,,,,,
19:40:53:650,0.99,0.99,0,,,,,,,,
19:40:53:653,1,1.01,6.95,,,,,,,,
19:40:53:655,1.03,1.04,17.5,,,,,,,,
19:40:53:658,1.05,1.06,19.85,,,,,,,,
19:40:53:661,1.07,1.08,11.25,,,,,,,,
19:40:53:664,1.09,1.1,13.43,,,,,,,,
19:40:53:667,1.11,1.11,-1.56,,,,,,,,
19:40:53:669,1.12,1.13,8.05,,,,,,,,
19:40:53:672,1.14,1.14,-1.67,,,,,,,,
19:40:53:675,1.15,1.16,8.75,,,,,,,,
19:40:53:677,1.17,1.17,1.82,,,,,,,,
19:40:53:680,1.19,1.2,15.31,,,,,,,,
19:40:53:683,1.2,1.22,22.16,,,,,,,,
19:40:53:686,1.25,1.27,22.37,,,,,,,,
19:40:53:688,1.31,1.32,12.86,,,,,,,,
19:40:53:691,1.34,1.35,16.51,,,,,,,,
19:40:53:694,1.36,1.36,8.66,,,,,,,,
19:40:53:697,1.37,1.36,-14.47,,,,,,,,
19:40:53:700,1.35,1.35,2.78,,,,,,,,
19:40:53:702,1.33,1.33,-5.33,,,,,,,,
19:40:53:705,1.33,1.31,-20.86,,,,,,,,
19:40:53:708,1.33,1.33,5.29,,,,,,,,
19:40:53:711,1.34,1.35,21.99,,,,,,,,
19:40:53:713,1.35,1.35,8.39,,,,,,,,
19:40:53:716,1.35,1.35,5.58,,,,,,,,
19:40:53:719,1.34,1.33,-27.02,,,,,,,,
19:40:53:722,1.31,1.3,-5.04,,,,,,,,
19:40:53:725,1.28,1.26,-27.54,,,,,,,,
19:40:53:727,1.23,1.21,-24.58,,,,,,,,
19:40:53:730,1.2,1.23,36.83,,,,,,,,
19:40:53:733,1.25,1.26,11.2,,,,,,,,
19:40:53:736,1.27,1.28,9.39,,,,,,,,
19:40:53:739,1.28,1.28,-2.35,,,,,,,,
19:40:53:742,1.27,1.25,-18.07,,,,,,,,
19:40:53:745,1.22,1.21,-20.25,,,,,,,,
19:40:53:748,1.18,1.17,-18.27,,,,,,,,
