20:05:17:705,740,14375963,0.86,0.85,-3.51,,,,,,,,,,
20:05:17:707,750,14378717,0.85,0.84,-2.75,,,,,,,,,,
20:05:17:710,760,14381501,0.83,0.83,-0.64,,,,,,,,,,
20:05:17:712,770,14384332,0.83,0.84,7.82,,,,,,,,,,
20:05:17:715,780,14387149,0.85,0.86,11.88,,,,,,,,,,
20:05:17:717,790,14389901,0.87,0.87,4.5,,,,,,,,,,
20:05:17:720,800,14392595,0.88,0.88,0.76,,,,,,,,,,
20:05:17:722,810,14395270,0.88,0.88,0.77,,,,,,,,,,
20:05:17:725,820,14397938,0.89,0.9,11.42,,,,,,,,,,
20:05:17:728,830,14400551,0.92,0.93,7.07,,,,,,,,,,
20:05:17:730,840,14403095,0.93,0.94,4.63,,,,,,,,,,
20:05:17:733,850,14405602,0.94,0.94,4.68,,,,,,,,,,
20:05:17:735,860,14408106,0.94,0.95,8.74,,,,,,,,,,
20:05:17:738,870,14410579,0.97,0.98,11.52,,,,,,,,,,
20:05:17:740,880,14412990,1,1,3.38,,,,,,,,,,
20:05:17:743,890,14415339,1.02,1.02,5.99,,,,,,,,,,
20:05:17:745,900,14417642,1.03,1.04,9.92,,,,,,,,,,
20:05:17:748,910,14419915,1.04,1.05,10.41,,,,,,,,,,
20:05:17:750,920,14422154,1.07,1.08,8.44,,,,,,,,,,
20:05:17:753,930,14424335,1.1,1.1,3.03,,,,,,,,,,
20:05:17:755,940,14426463,1.12,1.14,24.51,,,,,,,,,,
20:05:17:758,950,14428536,1.15,1.15,6.92,,,,,,,,,,
20:05:17:761,960,14430576,1.16,1.18,14.51,,,,,,,,,,
20:05:17:763,970,14432579,1.2,1.21,23.83,,,,,,,,,,
20:05:17:766,980,14434525,1.22,1.23,14.66,,,,,,,,,,
20:05:17:768,990,14436436,1.24,1.23,-12.68,,,,,,,,,,
20:05:17:771,1000,14438343,1.23,1.23,-6.27,,,,,,,,,,
20:05:17:774,1010,14440255,1.23,1.24,12.81,,,,,,,,,,
20:05:17:777,1020,14442151,1.25,1.26,15.72,,,,,,,,,,
20:05:17:779,1030,14444028,1.28,1.27,-18.79,,,,,,,,,,
20:05:17:782,1040,14445875,1.27,1.27,0,,,,,,,,,,
20:05:17:785,1050,14447727,1.26,1.25,-17.95,,,,,,,,,,
20:05:17:788,1060,14449607,1.23,1.21,-22.59,,,,,,,,,,
20:05:17:790,1070,14451542,1.2,1.19,-5.81,,,,,,,,,,
20:05:17:793,1080,14453510,1.2,1.2,5.83,,,,,,,,,,
20:05:17:795,1090,14455469,1.21,1.21,-6.04,,,,,,,,,,
20:05:17:798,1100,14457404,1.22,1.22,-10.27,,,,,,,,,,
20:05:17:801,1110,14459331,1.21,1.21,0,,,,,,,,,,
20:05:17:804,1120,14461281,1.18,1.17,-16.65,,,,,,,,,,
20:05:17:806,1130,14463283,1.15,1.13,-16.76,,,,,,,,,,
20:05:17:809,1140,14465350,1.12,1.12,-3.15,,,,,,,,,,
20:05:17:812,1150,14467460,1.11,1.11,0,,,,,,,,,,
20:05:17:814,1160,14469586,1.09,1.09,2.92,,,,,,,,,,
20:05:17:817,1170,14471752,1.07,1.07,-8.3,,,,,,,,,,
20:05:17:820,1180,14473963,1.04,1.03,-13.92,,,,,,,,,,
20:05:17:823,1190,14476237,1.01,0.99,-12.44,,,,,,,,,,
20:05:17:825,1200,14478592,0.98,0.97,-4.21,,,,,,,,,,
20:05:17:828,1210,14481001,0.97,0.96,-8.17,,,,,,,,,,
20:05:17:831,1220,14483434,0.96,0.95,-6.84,,,,,,,,,,
20:05:17:833,1230,14485906,0.93,0.93,-7.28,,,,,,,,,,
20:05:17:836,1240,14488441,0.91,0.9,-8.28,,,,,,,,,,
20:05:17:839,1250,14491055,0.89,0.87,-11.53,,,,,,,,,,
20:05:17:841,1260,14493733,0.87,0.88,3.04,,,,,,,,,,
20:05:17:844,1270,14496414,0.87,0.87,-5.22,,,,,,,,,,
20:05:17:847,1280,14499115,0.87,0.85,-14.32,,,,,,,,,,
20:05:17:849,1290,14501857,0.84,0.84,0,,,,,,,,,,
20:05:17:852,1300,14504668,0.82,0.82,-4.35,,,,,,,,,,
20:05:17:855,1310,14507537,0.82,0.82,5.62,,,,,,,,,,
20:05:17:857,1320,14510397,0.84,0.84,1.33,,,,,,,,,,
20:05:17:860,1330,14513199,0.84,0.83,-9.17,,,,,,,,,,
20:05:17:863,1340,14516035,0.81,0.8,-9.93,,,,,,,,,,
20:05:17:865,1350,14518981,0.78,0.77,-4.78,,,,,,,,,,
20:05:17:868,1360,14522005,0.77,0.77,1.05,,,,,,,,,,
20:05:17:871,1370,14525041,0.77,0.76,-4.58,,,,,,,,,,
20:05:17:873,1380,14528122,0.74,0.73,-7.64,,,,,,,,,,
20:05:17:876,1390,14531321,0.73,0.74,2.24,,,,,,,,,,
20:05:17:879,1400,14534508,0.76,0.77,6.02,,,,,,,,,,
20:05:17:881,1410,14537591,0.76,0.75,-7.92,,,,,,,,,,
20:05:17:884,1420,14540705,0.73,0.71,-16.67,,,,,,,,,,
20:05:17:887,1430,14544008,0.68,0.67,-9.98,,,,,,,,,,
20:05:17:889,1440,14547508,0.66,0.67,1,,,,,,,,,,
20:05:17:892,1450,14551040,0.66,0.65,-6.08,,,,,,,,,,
20:05:17:895,1460,14554639,0.63,0.61,-11.84,,,,,,,,,,
20:05:17:898,1470,14558443,0.59,0.58,-7.63,,,,,,,,,,
20:05:17:900,1480,14562499,0.57,0.55,-9.91,,,,,,,,,,
20:05:17:903,1490,14566749,0.53,0.5,-11.82,,,,,,,,,,
20:05:17:906,1500,14571344,0.49,0.47,-11.65,,,,,,,,,,
20:05:17:909,1510,14576311,0.45,0.43,-10.08,,,,,,,,,,
20:05:17:911,1520,14581744,0.4,0.36,-14.23,,,,,,,,,,
