13:39:04:075,0,15269079,0.04,0.07,1.9,,,,,,,,,,
13:39:04:078,10,15309316,0.12,0.14,2.76,,,,,,,,,,
13:39:04:080,20,15326830,0.18,0.2,2.85,,,,,,,,,,
13:39:04:082,30,15338821,0.22,0.24,6.14,,,,,,,,,,
13:39:04:085,40,15348778,0.27,0.29,4.23,,,,,,,,,,
13:39:04:087,50,15357078,0.32,0.33,4.11,,,,,,,,,,
13:39:04:090,60,15364264,0.35,0.35,-0.44,,,,,,,,,,
13:39:04:092,70,15370911,0.38,0.4,8.03,,,,,,,,,,
13:39:04:095,80,15376833,0.41,0.42,1.78,,,,,,,,,,
13:39:04:097,90,15382501,0.43,0.45,5.3,,,,,,,,,,
13:39:04:100,100,15387812,0.45,0.46,2.03,,,,,,,,,,
13:39:04:102,110,15392937,0.47,0.47,2.81,,,,,,,,,,
13:39:04:105,120,15397921,0.48,0.49,6.04,,,,,,,,,,
13:39:04:107,130,15402736,0.5,0.51,1.46,,,,,,,,,,
13:39:04:110,140,15407424,0.49,0.51,9.85,,,,,,,,,,
13:39:04:112,150,15412079,0.54,0.55,7.82,,,,,,,,,,
13:39:04:115,160,15416350,0.57,0.57,2.71,,,,13:39:04:494,Pulso,Inicial:,20,Pulso,Propulsiva:,1584
13:39:04:117,170,15420484,0.56,0.57,6.03,,,,13:39:04:494,,,,,,
13:39:04:120,180,15424581,0.61,0.64,21.27,,,,13:39:04:496,Recorrido:,37.58,,,,
13:39:04:122,190,15428295,0.66,0.66,-1.32,,,,13:39:04:498,Velocidad,Media:,0.69,,,
13:39:04:125,200,15431855,0.65,0.65,1.26,,,,13:39:04:500,Velocidad,Propulsiva:,0.73,,,
13:39:04:127,210,15435441,0.67,0.68,8.7,,,,13:39:04:502,Velocidad,Máxima:,1.18,,,
13:39:04:130,220,15438904,0.7,0.7,1.14,,,,,,,,,,
13:39:04:133,230,15442269,0.7,0.71,6.76,,,,,,,,,,
13:39:04:135,240,15445583,0.73,0.76,16.37,,,,,,,,,,
13:39:04:138,250,15448719,0.79,0.82,22.72,,,,,,,,,,
13:39:04:140,260,15451631,0.84,0.85,12.32,,,,,,,,,,
13:39:04:143,270,15454408,0.86,0.87,8.67,,,,,,,,,,
13:39:04:145,280,15457131,0.88,0.89,9.4,,,,,,,,,,
13:39:04:148,290,15459777,0.91,0.91,5.12,,,,,,,,,,
13:39:04:150,300,15462345,0.94,0.94,5.66,,,,,,,,,,
13:39:04:153,310,15464839,0.96,0.97,6.04,,,,,,,,,,
13:39:04:155,320,15467274,0.99,0.99,6.54,,,,,,,,,,
13:39:04:158,330,15469645,1.01,1.02,5.91,,,,,,,,,,
13:39:04:160,340,15471963,1.02,1.03,3.65,,,,,,,,,,
13:39:04:163,350,15474253,1.03,1.03,-4.9,,,,,,,,,,
13:39:04:166,360,15476532,1.03,1.03,3.68,,,,,,,,,,
13:39:04:168,370,15478822,1.02,1.01,-12.99,,,,,,,,,,
13:39:04:171,380,15481142,1.02,1.03,9.75,,,,,,,,,,
13:39:04:173,390,15483435,1.03,1.02,-6.08,,,,,,,,,,
13:39:04:176,400,15485724,1.03,1.03,4.94,,,,,,,,,,
13:39:04:179,410,15488007,1.03,1.04,12.43,,,,,,,,,,
13:39:04:181,420,15490283,1.05,1.05,-3.92,,,,,,,,,,
13:39:04:184,430,15492528,1.02,0.99,-25.2,,,,,,,,,,
13:39:04:186,440,15494883,0.98,1.01,33.46,,,,,,,,,,
13:39:04:189,450,15497226,1.03,1.02,-14.58,,,,,,,,,,
13:39:04:192,460,15499533,1.01,1.01,7,,,,,,,,,,
13:39:04:194,470,15501861,1,0.99,-14.44,,,,,,,,,,
13:39:04:197,480,15504230,0.98,0.98,1.06,,,,,,,,,,
13:39:04:200,490,15506635,0.97,0.96,-14.39,,,,,,,,,,
13:39:04:202,500,15509083,0.91,0.9,-6.7,,,,,,,,,,
13:39:04:205,510,15511678,0.91,0.91,7.65,,,,,,,,,,
13:39:04:207,520,15514259,0.91,0.9,-5.05,,,,,,,,,,
13:39:04:210,530,15516857,0.89,0.88,-10.15,,,,,,,,,,
