20:10:36:481,700,13860738,0.83,0.84,9.23,,,,,,,,,,,,
20:10:36:483,710,13863541,0.85,0.87,11.51,,,,,,,,,,,,
20:10:36:486,720,13866269,0.87,0.87,-2.22,,,,,,,,,,,,
20:10:36:489,730,13868975,0.86,0.85,-7.86,,,,,,,,,,,,
20:10:36:491,740,13871719,0.85,0.84,-3.42,,,,,,,,,,,,
20:10:36:494,750,13874498,0.85,0.86,5.64,,,,,,,,,,,,
20:10:36:496,760,13877236,0.88,0.89,13.35,,,,,,,,,,,,
20:10:36:499,770,13879891,0.9,0.9,2.45,,,,,,,,,,,,
20:10:36:501,780,13882506,0.9,0.89,-8.2,,,,,,,,,,,,
20:10:36:504,790,13885126,0.9,0.89,-2.43,,,,,,,,,,,,
20:10:36:507,800,13887751,0.9,0.92,11.89,,,,,,,,,,,,
20:10:36:509,810,13890327,0.94,0.96,16.37,,,,,,,,,,,,
20:10:36:512,820,13892803,0.96,0.97,7.08,,,,,,,,,,,,
20:10:36:514,830,13895240,0.97,0.97,-2.04,,,,,,,,,,,,
20:10:36:517,840,13897668,0.97,0.97,1.04,,,,,,,,,,,,
20:10:36:519,850,13900080,0.99,1,11.01,,,,,,,,,,,,
20:10:36:522,860,13902448,1.01,1.03,18.03,,,,,,,,,,,,
20:10:36:525,870,13904747,1.04,1.04,5.13,,,,,,,,,,,,
20:10:36:527,880,13906997,1.05,1.06,6.61,,,,,,,,,,,,
20:10:36:530,890,13909219,1.07,1.07,1.4,,,,,,,,,,,,
20:10:36:532,900,13911403,1.09,1.1,13.22,,,,,,,,,,,,
20:10:36:535,910,13913551,1.12,1.13,12.81,,,,,,,,,,,,
20:10:36:537,920,13915639,1.15,1.16,12.19,,,,,,,,,,,,
20:10:36:540,930,13917668,1.18,1.19,13.2,,,,,,,,,,,,
20:10:36:543,940,13919649,1.2,1.21,11.76,,,,,,,,,,,,
20:10:36:545,950,13921600,1.22,1.23,12.48,,,,,,,,,,,,
20:10:36:548,960,13923512,1.25,1.24,-6.54,,,,,,,,,,,,
20:10:36:550,970,13925404,1.26,1.26,-4.48,,,,,,,,,,,,
20:10:36:553,980,13927275,1.27,1.27,0,,,,,,,,,,,,
20:10:36:556,990,13929130,1.28,1.29,14.46,,,,,,,,,,,,
20:10:36:558,1000,13930958,1.3,1.31,12.59,,,,,,,,,,,,
20:10:36:561,1010,13932753,1.32,1.32,0,,,,,,,,,,,,
20:10:36:564,1020,13934529,1.31,1.31,-5.09,,,,,,,,,,,,
20:10:36:566,1030,13936329,1.28,1.26,-16.13,,,,,,,,,,,,
20:10:36:569,1040,13938185,1.25,1.23,-21.58,,,,,,,,,,,,
20:10:36:572,1050,13940083,1.23,1.24,10.61,,,,,,,,,,,,
20:10:36:575,1060,13941987,1.23,1.26,32.77,,,,,,,,,,,,
20:10:36:577,1070,13943871,1.28,1.27,-2.34,,,,,,,,,,,,
20:10:36:580,1080,13945715,1.28,1.28,-4.71,,,,,,,,,,,,
20:10:36:583,1090,13947556,1.26,1.25,-13.53,,,,,,,,,,,,
20:10:36:585,1100,13949426,1.24,1.22,-25.26,,,,,,,,,,,,
20:10:36:588,1110,13951346,1.19,1.17,-16.8,,,,,,,,,,,,
20:10:36:591,1120,13953339,1.17,1.16,-5.35,,,,,,,,,,,,
20:10:36:594,1130,13955359,1.16,1.16,7.08,,,,,,,,,,,,
20:10:36:596,1140,13957380,1.16,1.16,0,,,,,,,,,,,,
20:10:36:599,1150,13959409,1.14,1.12,-17.91,,,,,,,,,,,,
20:10:36:602,1160,13961489,1.1,1.09,-16.39,,,,,,,,,,,,
20:10:36:604,1170,13963639,1.07,1.06,-9.59,,,,,,,,,,,,
20:10:36:607,1180,13965851,1.04,1.03,-18.84,,,,,,,,,,,,
20:10:36:611,1190,13968126,1.02,1.02,-1.21,,,,,,,,,,,,
20:10:36:613,1200,13970426,1.03,1.02,-9.72,,,,,,,,,,,,
20:10:36:615,1210,13972721,1.01,1.01,-5.84,,,,,,,,,,,,
20:10:36:618,1220,13975055,0.99,0.97,-16.93,,,,,,,,,,,,
20:10:36:621,1230,13977463,0.96,0.95,-4.9,,,,,,,,,,,,
20:10:36:623,1240,13979935,0.93,0.94,4.6,,,,,,,,,,,,
20:10:36:626,1250,13982443,0.94,0.94,-2.85,,,,,,,,,,,,
20:10:36:629,1260,13984936,0.93,0.93,-7.29,,,,,,,,,,,,
20:10:36:631,1270,13987473,0.9,0.9,-5.78,,,,,,,,,,,,
20:10:36:634,1280,13990090,0.89,0.9,3.24,,,,,,,,,,,,
20:10:36:637,1290,13992714,0.91,0.91,3.4,,,,,,,,,,,,
20:10:36:639,1300,13995292,0.92,0.92,0.87,,,,,,,,,,,,
20:10:36:642,1310,13997859,0.91,0.91,-5.09,,,,,,,,,,,,
20:10:36:645,1320,14000452,0.89,0.88,-7.89,,,,,,,,,,,,
20:10:36:647,1330,14003106,0.87,0.87,-3.74,,,,,,,,,,,,
20:10:36:650,1340,14005805,0.87,0.86,-8.74,,,,,,,,,,,,
20:10:36:653,1350,14008521,0.85,0.85,-0.7,,,,,,,,,,,,
20:10:36:655,1360,14011281,0.85,0.85,-0.69,,,,,,,,,,,,
20:10:36:658,1370,14014051,0.86,0.87,6.66,,,,,,,,,,,,
20:10:36:661,1380,14016750,0.9,0.9,8.25,,,,,,,,,,,,
20:10:36:663,1390,14019358,0.9,0.89,-10.62,,,,,,,,,,,,
20:10:36:666,1400,14021988,0.87,0.86,-11.67,,,,,,,,,,,,
20:10:36:669,1410,14024718,0.84,0.84,-1.34,,,,,,,,,,,,
20:10:36:671,1420,14027518,0.84,0.85,8.26,,,,,,,,,,,,
20:10:36:674,1430,14030285,0.87,0.87,4.46,,,,,,,,,,,,
20:10:36:678,1440,14032983,0.87,0.87,-7.46,,,,,,,,,,,,
20:10:36:679,1450,14035688,0.86,0.86,-0.71,,,,,,,,,,,,
20:10:36:682,1460,14038435,0.84,0.84,-2.02,,,,,,,,,,,,
20:10:36:685,1470,14041232,0.84,0.85,4.74,,,,,,,,,,,,
20:10:36:687,1480,14044016,0.85,0.85,-4.19,,,,,,,,,,,,
20:10:36:690,1490,14046780,0.85,0.84,-3.41,,,,,,,,,,,,
20:10:36:693,1500,14049576,0.82,0.82,-3.78,,,,,,,,,,,,
20:10:36:695,1510,14052435,0.82,0.82,1.23,,,,,,,,,,,,
20:10:36:698,1520,14055314,0.82,0.82,1.89,,,,,,,,,,,,
20:10:36:701,1530,14058170,0.83,0.82,-6.96,,,,,,,,,,,,
20:10:36:703,1540,14061033,0.8,0.78,-11.15,,,,,,,,,,,,
20:10:36:706,1550,14064025,0.76,0.74,-9.56,,,,,,,,,,,,
20:10:36:709,1560,14067168,0.72,0.71,-8.79,,,,,,,,,,,,
20:10:36:711,1570,14070463,0.69,0.68,-7.01,,,,,,,,,,,,
20:10:36:714,1580,14073909,0.65,0.63,-14.95,,,,,,,,,,,,
20:10:36:717,1590,14077628,0.59,0.56,-18.1,,,,,,,,,,,,
20:10:36:720,1600,14081758,0.53,0.51,-11.66,,,,,,,,,,,,
20:10:36:723,1610,14086319,0.47,0.42,-23.9,,,,,,,,,,,,
