13:39:00:814,12574468,-0.35
13:39:00:819,12580043,-0.89
13:39:00:825,12586358,-0.34
13:39:00:832,12592520,-0.81
13:39:00:838,12599255,-0.17
13:39:00:844,12604597,0.05
13:39:00:849,12609404,-0.4
13:39:00:854,12615236,0.17
13:39:00:860,12621084,0.12
13:39:00:866,12626436,-1.11
13:39:00:873,12633588,-1.18
13:39:00:879,12639735,-0.8
13:39:00:886,12646443,-1.08
13:39:00:894,12654557,-0.58
13:39:00:902,12662978,-1.03
13:39:00:913,12673591,-0.75
13:39:00:927,12687623,-0.45
13:39:00:956,12717351,-0.78
13:39:03:244,15004725,0.45
13:39:03:254,15015449,0.08
13:39:03:263,15023872,-0.36
13:39:03:271,15031893,-0.47
13:39:03:279,15039849,-0.71
13:39:03:288,15049502,-0.89
13:39:03:301,15061919,-1.53
13:39:03:508,15269079,0.91
13:39:03:516,15276893,1.5
13:39:03:522,15282798,1.14
13:39:03:526,15287420,1.46
13:39:03:530,15291422,1.7
13:39:03:534,15294958,2.35
13:39:03:537,15298401,2.56
13:39:03:541,15301702,1.97
13:39:03:543,15304535,3.08
13:39:03:548,15309316,3.05
13:39:03:552,15313569,4.51
13:39:03:556,15317177,3.92
13:39:03:559,15320611,4.01
13:39:03:563,15323940,4.89
13:39:03:567,15328150,5.04
13:39:03:571,15331972,4.93
13:39:03:574,15335641,4.97
13:39:03:578,15338821,4.33
13:39:03:581,15342046,4.6
13:39:03:584,15345240,4.74
13:39:03:588,15348778,5.02
13:39:03:591,15352221,5.23
13:39:03:594,15355493,5.26
13:39:03:597,15358596,5.9
13:39:03:600,15361469,5.76
13:39:03:604,15364941,6.22
13:39:03:607,15368291,6.11
13:39:03:610,15371531,6.24
13:39:03:613,15374534,5.86
13:39:03:616,15377409,6.05
13:39:03:619,15380238,6.09
13:39:03:622,15383590,5.7
13:39:03:626,15386776,6.22
13:39:03:629,15390403,5.29
13:39:03:632,15393440,4.84
13:39:03:635,15396440,5.05
13:39:03:638,15399393,5.1
13:39:03:641,15402256,4.88
13:39:03:644,15405066,5.28
13:39:03:647,15407908,4.95
13:39:03:650,15410736,4.96
13:39:03:653,15413817,4.65
13:39:03:656,15416768,5.08
13:39:03:658,15419657,5.25
13:39:03:661,15422563,5.51
13:39:03:665,15425746,4.73
13:39:03:667,15428650,4.49
13:39:03:670,15431494,4.14
13:39:03:673,15434375,3.65
13:39:03:676,15437540,4.73
13:39:03:679,15440596,4.41
13:39:03:682,15443608,4.64
13:39:03:685,15446546,3.95
13:39:03:688,15449616,3.66
13:39:03:691,15452476,3.59
13:39:03:694,15455506,3.12
13:39:03:697,15458464,3.26
13:39:03:700,15461330,2.88
13:39:03:703,15464343,2.56
13:39:03:706,15467274,3
13:39:03:709,15470113,3.02
13:39:03:712,15473110,2.87
13:39:03:715,15476081,2.79
13:39:03:718,15479053,3.06
13:39:03:721,15482064,2.95
13:39:03:724,15485041,2.89
13:39:03:727,15488007,2.91
13:39:03:730,15490954,3.33
13:39:03:733,15493925,2.68
13:39:03:736,15496771,2.44
13:39:03:739,15499770,2.34
13:39:03:742,15502800,2.04
13:39:03:745,15505673,1.55
13:39:03:747,15508579,1.68
13:39:03:751,15511420,1.79
13:39:03:754,15515036,1.25
13:39:03:757,15517914,1.53
13:39:03:760,15520846,1.71
13:39:03:763,15523755,1.42
13:39:03:766,15526711,0.86
13:39:03:769,15529706,2.27
13:39:03:772,15532734,1.79
13:39:03:775,15535736,1.86
13:39:03:778,15538690,1.77
13:39:03:780,15541655,1.53
13:39:03:783,15544566,1.48
13:39:03:786,15547432,1.55
13:39:03:789,15550257,1.4
13:39:03:792,15553268,1.31
13:39:03:795,15556252,1
13:39:03:798,15559242,1.13
13:39:03:801,15562257,1.2
13:39:03:804,15565255,1.33
13:39:03:807,15568172,1.67
