20:02:43:457,0,19970213,0.06,0.1,3.53,,,,,,,,,,
20:02:43:459,10,19998020,0.15,0.19,6.63,,,,,,,,,,
20:02:43:461,20,20011245,0.21,0.25,9.26,,,,,,,,,,
20:02:43:464,30,20021097,0.28,0.29,2.43,,,,,,,,,,
20:02:43:466,40,20029275,0.32,0.32,1.99,,,,,,,,,,
20:02:43:469,50,20036608,0.34,0.37,8.24,,,,,,,,,,
20:02:43:471,60,20043165,0.37,0.39,8.61,,,,,,,,,,
20:02:43:474,70,20049275,0.4,0.42,8.61,,,,,,,,,,
20:02:43:476,80,20054937,0.44,0.45,3.98,,,,,,,,,,
20:02:43:478,90,20060236,0.45,0.46,3.94,,,,,,,,,,
20:02:43:481,100,20065325,0.48,0.49,6.04,,,,,,,,,,
20:02:43:483,110,20070151,0.5,0.51,4.67,,,,,,,,,,
20:02:43:486,120,20074782,0.53,0.54,5.61,,,,20:02:43:905,Pulso,Inicial:,20,Pulso,Propulsiva:,1694
20:02:43:488,130,20079186,0.55,0.55,3.98,,,,20:02:43:905,,,,,,
20:02:43:491,140,20083437,0.57,0.58,7.1,,,,20:02:43:907,Recorrido:,40.21,,,,
20:02:43:494,150,20087505,0.59,0.6,7.26,,,,20:02:43:909,Velocidad,Media:,0.81,,,
20:02:43:496,160,20091416,0.62,0.63,3.6,,,,20:02:43:911,Velocidad,Propulsiva:,0.86,,,
20:02:43:499,170,20095162,0.64,0.65,6.45,,,,20:02:43:914,Velocidad,Máxima:,1.46,,,
20:02:43:501,180,20098779,0.66,0.67,4.02,,,,,,,,,,
20:02:43:504,190,20102292,0.68,0.7,8.53,,,,,,,,,,
20:02:43:506,200,20105686,0.71,0.72,9.6,,,,,,,,,,
20:02:43:509,210,20108944,0.74,0.75,4.26,,,,,,,,,,
20:02:43:511,220,20112078,0.76,0.78,10.32,,,,,,,,,,
20:02:43:514,230,20115118,0.79,0.81,11.64,,,,,,,,,,
20:02:43:516,240,20118045,0.83,0.84,6.56,,,,,,,,,,
20:02:43:519,250,20120865,0.85,0.86,8.39,,,,,,,,,,
20:02:43:523,260,20123619,0.87,0.88,5.27,,,,,,,,,,
20:02:43:524,270,20126305,0.89,0.91,17.42,,,,,,,,,,
20:02:43:527,280,20128898,0.94,0.95,7.56,,,,,,,,,,
20:02:43:529,290,20131390,0.95,0.97,12.97,,,,,,,,,,
20:02:43:532,300,20133837,0.97,0.99,15.99,,,,,,,,,,
20:02:43:534,310,20136228,1,1,1.12,,,,,,,,,,
20:02:43:537,320,20138581,1.01,1.02,3.55,,,,,,,,,,
20:02:43:539,330,20140894,1.03,1.03,3.7,,,,,,,,,,
20:02:43:542,340,20143179,1.04,1.03,-8.71,,,,,,,,,,
20:02:43:544,350,20145462,1.03,1.02,-6.07,,,,,,,,,,
20:02:43:547,360,20147761,1.02,1.02,0,,,,,,,,,,
20:02:43:550,370,20150073,1.03,1.04,11.23,,,,,,,,,,
20:02:43:552,380,20152346,1.04,1.05,10.38,,,,,,,,,,
20:02:43:555,390,20154591,1.05,1.05,1.31,,,,,,,,,,
20:02:43:557,400,20156827,1.05,1.05,6.54,,,,,,,,,,
20:02:43:560,410,20159064,1.07,1.07,8.34,,,,,,,,,,
20:02:43:562,420,20161255,1.08,1.09,7.21,,,,,,,,,,
20:02:43:565,430,20163425,1.08,1.08,-5.72,,,,,,,,,,
20:02:43:567,440,20165601,1.07,1.07,-2.75,,,,,,,,,,
20:02:43:570,450,20167801,1.07,1.06,-12.25,,,,,,,,,,
20:02:43:573,460,20170014,1.04,1.04,-3.85,,,,,,,,,,
20:02:43:575,470,20172268,1.03,1.04,1.26,,,,,,,,,,
20:02:43:578,480,20174539,1.03,1.03,-3.73,,,,,,,,,,
20:02:43:580,490,20176821,1.03,1.03,1.22,,,,,,,,,,
20:02:43:583,500,20179104,1.03,1.03,1.25,,,,,,,,,,
20:02:43:586,510,20181379,1.02,1,-17.55,,,,,,,,,,
20:02:43:588,520,20183713,0.98,0.97,-9.4,,,,,,,,,,
20:02:43:591,530,20186129,0.96,0.96,-2.02,,,,,,,,,,
20:02:43:593,540,20188565,0.96,0.96,-4.97,,,,,,,,,,
20:02:43:596,550,20191020,0.96,0.94,-12.61,,,,,,,,,,
20:02:43:599,560,20193499,0.93,0.93,-1.84,,,,,,,,,,
20:02:43:601,570,20196020,0.93,0.93,5.42,,,,,,,,,,
20:02:43:604,580,20198552,0.93,0.93,5.48,,,,,,,,,,
20:02:43:606,590,20201074,0.93,0.93,2.72,,,,,,,,,,
20:02:43:609,600,20203598,0.94,0.93,-5.56,,,,,,,,,,
20:02:43:611,610,20206111,0.93,0.94,7.33,,,,,,,,,,
20:02:43:614,620,20208634,0.94,0.94,2.8,,,,,,,,,,
20:02:43:616,630,20211134,0.95,0.95,0,,,,,,,,,,
20:02:43:619,640,20213589,0.96,0.97,4.04,,,,,,,,,,
20:02:43:621,650,20216024,0.96,0.97,9.22,,,,,,,,,,
20:02:43:624,660,20218454,0.97,0.98,5.22,,,,,,,,,,
20:02:43:627,670,20220867,0.99,0.99,-1.08,,,,,,,,,,
20:02:43:629,680,20223250,0.99,0.99,4.4,,,,,,,,,,
20:02:43:632,690,20225622,0.99,0.99,4.37,,,,,,,,,,
20:02:43:634,700,20228001,0.99,0.99,4.39,,,,,,,,,,
20:02:43:637,710,20230373,1,1.01,7.96,,,,,,,,,,
20:02:43:639,720,20232713,1.02,1.04,15.97,,,,,,,,,,
20:02:43:642,730,20234996,1.05,1.06,9.32,,,,,,,,,,
20:02:43:644,740,20237222,1.06,1.06,-2.71,,,,,,,,,,
20:02:43:647,750,20239432,1.07,1.08,12.49,,,,,,,,,,
20:02:43:649,760,20241628,1.09,1.1,8.89,,,,,,,,,,
20:02:43:652,770,20243771,1.11,1.12,3.13,,,,,,,,,,
20:02:43:655,780,20245881,1.14,1.14,-3.31,,,,,,,,,,
20:02:43:657,790,20247947,1.15,1.16,8.68,,,,,,,,,,
20:02:43:660,800,20249984,1.17,1.18,9.12,,,,,,,,,,
20:02:43:662,810,20251984,1.19,1.21,25.39,,,,,,,,,,
20:02:43:665,820,20253939,1.22,1.24,25.16,,,,,,,,,,
20:02:43:667,830,20255851,1.25,1.27,15.77,,,,,,,,,,
20:02:43:670,840,20257716,1.28,1.28,4.76,,,,,,,,,,
20:02:43:673,850,20259547,1.3,1.32,22.82,,,,,,,,,,
20:02:43:675,860,20261340,1.33,1.35,21.86,,,,,,,,,,
20:02:43:678,870,20263091,1.36,1.38,23.19,,,,,,,,,,
20:02:43:680,880,20264802,1.4,1.42,18.98,,,,,,,,,,
20:02:43:683,890,20266467,1.43,1.44,9.99,,,,,,,,,,
20:02:43:686,900,20268104,1.46,1.47,14.32,,,,,,,,,,
20:02:43:688,910,20269701,1.49,1.51,26.57,,,,,,,,,,
20:02:43:691,920,20271269,1.52,1.52,4,,,,,,,,,,
20:02:43:693,930,20272811,1.53,1.53,0,,,,,,,,,,
20:02:43:696,940,20274344,1.53,1.55,33.3,,,,,,,,,,
20:02:43:698,950,20275866,1.56,1.57,17.32,,,,,,,,,,
20:02:43:701,960,20277370,1.57,1.59,26.78,,,,,,,,,,
20:02:43:704,970,20278855,1.59,1.58,-4.49,,,,,,,,,,
20:02:43:706,980,20280340,1.57,1.57,-13.14,,,,,,,,,,
20:02:43:709,990,20281842,1.56,1.54,-29.33,,,,,,,,,,
20:02:43:712,1000,20283364,1.53,1.51,-19.88,,,,,,,,,,
20:02:43:714,1010,20284910,1.51,1.51,-3.91,,,,,,,,,,
20:02:43:717,1020,20286467,1.52,1.52,0,,,,,,,,,,
20:02:43:720,1030,20288012,1.52,1.53,12.01,,,,,,,,,,
20:02:43:722,1040,20289554,1.53,1.53,0,,,,,,,,,,
20:02:43:725,1050,20291091,1.54,1.53,-12.2,,,,,,,,,,
20:02:43:728,1060,20292627,1.51,1.5,-15.43,,,,,,,,,,
20:02:43:731,1070,20294190,1.48,1.47,-18.24,,,,,,,,,,
20:02:43:733,1080,20295786,1.45,1.44,-13.69,,,,,,,,,,
20:02:43:736,1090,20297416,1.42,1.41,-25.57,,,,,,,,,,
20:02:43:739,1100,20299080,1.39,1.38,-24.09,,,,,,,,,,
20:02:43:742,1110,20300779,1.35,1.36,14.16,,,,,,,,,,
20:02:43:744,1120,20302512,1.34,1.34,-8.17,,,,,,,,,,
20:02:43:747,1130,20304266,1.32,1.33,13.15,,,,,,,,,,
20:02:43:750,1140,20306038,1.32,1.31,-12.89,,,,,,,,,,
20:02:43:753,1150,20307831,1.29,1.28,-16.91,,,,,,,,,,
20:02:43:755,1160,20309659,1.27,1.26,-13.62,,,,,,,,,,
