20:08:24:705,760,16110187,0.7,0.7,-0.4,,,,,,,,,
20:08:24:708,770,16113533,0.7,0.7,0,,,,,,,,,
20:08:24:711,780,16116881,0.7,0.7,0.38,,,,,,,,,
20:08:24:713,790,16120247,0.7,0.7,3.13,,,,,,,,,
20:08:24:716,800,16123592,0.71,0.72,3.71,,,,,,,,,
20:08:24:718,810,16126874,0.73,0.73,4.88,,,,,,,,,
20:08:24:721,820,16130079,0.74,0.74,4.17,,,,,,,,,
20:08:24:723,830,16133244,0.74,0.75,5.61,,,,,,,,,
20:08:24:726,840,16136394,0.76,0.77,6.54,,,,,,,,,
20:08:24:728,850,16139465,0.78,0.79,5.97,,,,,,,,,
20:08:24:731,860,16142466,0.79,0.79,3.35,,,,,,,,,
20:08:24:733,870,16145437,0.79,0.8,6.31,,,,,,,,,
20:08:24:736,880,16148376,0.81,0.82,5.51,,,,,,,,,
20:08:24:739,890,16151251,0.83,0.84,5.9,,,,,,,,,
20:08:24:741,900,16154062,0.85,0.85,4.89,,,,,,,,,
20:08:24:743,910,16156815,0.86,0.87,8.13,,,,,,,,,
20:08:24:746,920,16159520,0.87,0.88,5.35,,,,,,,,,
20:08:24:748,930,16162196,0.89,0.9,7.24,,,,,,,,,
20:08:24:751,940,16164818,0.92,0.92,4.43,,,,,,,,,
20:08:24:753,950,16167362,0.94,0.95,5.76,,,,,,,,,
20:08:24:756,960,16169839,0.97,0.98,11.58,,,,,,,,,
20:08:24:758,970,16172236,1,1,3.42,,,,,,,,,
20:08:24:762,980,16174576,1.01,1.02,10.77,,,,,,,,,
20:08:24:764,990,16176879,1.03,1.05,17.83,,,,,,,,,
20:08:24:766,1000,16179132,1.06,1.06,9.45,,,,,,,,,
20:08:24:769,1010,16181341,1.08,1.08,1.41,,,,,,,,,
20:08:24:771,1020,16183525,1.08,1.08,-2.82,,,,,,,,,
20:08:24:774,1030,16185707,1.08,1.08,4.29,,,,,,,,,
20:08:24:777,1040,16187879,1.09,1.1,5.94,,,,,,,,,
20:08:24:779,1050,16190024,1.1,1.11,9.26,,,,,,,,,
20:08:24:782,1060,16192140,1.12,1.12,4.74,,,,,,,,,
20:08:24:785,1070,16194243,1.11,1.1,-15.15,,,,,,,,,
20:08:24:787,1080,16196384,1.07,1.06,-13.56,,,,,,,,,
20:08:24:790,1090,16198602,1.05,1.05,-5.26,,,,,,,,,
20:08:24:793,1100,16200839,1.06,1.06,4.05,,,,,,,,,
20:08:24:795,1110,16203048,1.08,1.08,0,,,,,,,,,
