20:01:31:801,0,16189791,0.02,0,-0.07,,,,,,,,,,
20:01:31:803,10,16555416,0.04,0.07,2.16,,,,,,,,,,
20:01:31:805,20,16597893,0.11,0.14,3.65,,,,,,,,,,
20:01:31:808,30,16615870,0.18,0.19,2.23,,,,,,,,,,
20:01:31:810,40,16628230,0.23,0.23,0.55,,,,,,,,,,
20:01:31:813,50,16638381,0.25,0.27,7.41,,,,,,,,,,
20:01:31:815,60,16647266,0.3,0.31,3.29,,,,,,,,,,
20:01:31:818,70,16654951,0.33,0.34,4.5,,,,,,,,,,
20:01:31:820,80,16661838,0.36,0.38,7.45,,,,,,,,,,
20:01:31:822,90,16668110,0.39,0.41,4.99,,,,,,,,,,
20:01:31:825,100,16673893,0.42,0.43,4.77,,,,,,,,,,
20:01:31:828,110,16679431,0.43,0.45,10.59,,,,,,,,,,
20:01:31:830,120,16684721,0.48,0.48,1.49,,,,,,,,,,
20:01:31:833,130,16689612,0.49,0.5,4.36,,,,,,,,,,
20:01:31:835,140,16694337,0.51,0.52,4.57,,,,,,,,,,
20:01:31:838,150,16698869,0.53,0.53,3.36,,,,20:01:32:241,Pulso,Inicial:,30,Pulso,Propulsiva:,1664
20:01:31:840,160,16703288,0.55,0.56,4.41,,,,20:01:32:241,,,,,,
20:01:31:843,170,16707524,0.57,0.58,4.43,,,,20:01:32:243,Recorrido:,39.36,,,,
20:01:31:845,180,16711615,0.59,0.6,6,,,,20:01:32:245,Velocidad,Media:,0.75,,,
20:01:31:848,190,16715534,0.62,0.62,4.54,,,,20:01:32:247,Velocidad,Propulsiva:,0.79,,,
20:01:31:850,200,16719318,0.63,0.65,11.31,,,,20:01:32:249,Velocidad,Máxima:,1.39,,,
20:01:31:853,210,16722973,0.66,0.67,5.32,,,,,,,,,,
20:01:31:855,220,16726487,0.69,0.69,5.22,,,,,,,,,,
20:01:31:858,230,16729876,0.71,0.71,4.42,,,,,,,,,,
20:01:31:860,240,16733183,0.73,0.73,3.07,,,,,,,,,,
20:01:31:863,250,16736396,0.75,0.76,6.25,,,,,,,,,,
20:01:31:865,260,16739513,0.78,0.78,6.98,,,,,,,,,,
20:01:31:868,270,16742519,0.8,0.81,13.07,,,,,,,,,,
20:01:31:871,280,16745414,0.83,0.86,24.6,,,,,,,,,,
20:01:31:873,290,16748195,0.86,0.88,12.62,,,,,,,,,,
20:01:31:876,300,16750894,0.89,0.9,11.26,,,,,,,,,,
20:01:31:878,310,16753512,0.92,0.93,9.77,,,,,,,,,,
20:01:31:881,320,16756056,0.93,0.94,12.09,,,,,,,,,,
20:01:31:884,330,16758555,0.96,0.98,17.6,,,,,,,,,,
20:01:31:886,340,16760964,0.99,1,4.45,,,,,,,,,,
20:01:31:889,350,16763321,1.01,1.02,9.56,,,,,,,,,,
