20:00:15:122,0,18557512,0.01,0.01,0.04,,,,,,,,,,,
20:00:15:126,10,18787820,0.04,0.09,3.76,,,,,,,,,,,
20:00:15:127,20,18823731,0.14,0.17,4.78,,,,,,,,,,,
20:00:15:129,30,18838656,0.21,0.22,4.11,,,,,,,,,,,
20:00:15:132,40,18849301,0.26,0.27,4.74,,,,,,,,,,,
20:00:15:134,50,18858068,0.29,0.31,4.27,,,,,,,,,,,
20:00:15:137,60,18865771,0.33,0.34,4.53,,,,,,,,,,,
20:00:15:139,70,18872721,0.36,0.37,5.78,,,,,,,,,,,
20:00:15:142,80,18879084,0.39,0.4,4.8,,,,,20:00:15:566,Pulso,Inicial:,30,Pulso,Propulsiva:,1674
20:00:15:145,90,18885011,0.42,0.42,1.66,,,,,20:00:15:566,,,,,,
20:00:15:147,100,18890671,0.42,0.45,12.11,,,,,20:00:15:568,Recorrido:,39.6,,,,
20:00:15:149,110,18896003,0.47,0.49,9.71,,,,,20:00:15:569,Velocidad,Media:,0.79,,,
20:00:15:152,120,18900895,0.51,0.51,-0.76,,,,,20:00:15:572,Velocidad,Propulsiva:,0.83,,,
20:00:15:154,130,18905503,0.51,0.52,4.16,,,,,20:00:15:574,Velocidad,Máxima:,1.51,,,
20:00:15:158,140,18910065,0.54,0.56,8.01,,,,,,,,,,,
20:00:15:160,150,18914291,0.58,0.58,2.83,,,,,,,,,,,
20:00:15:163,160,18918354,0.59,0.6,7.37,,,,,,,,,,,
20:00:15:165,170,18922286,0.62,0.63,5.72,,,,,,,,,,,
20:00:15:168,180,18926058,0.63,0.63,-1.68,,,,,,,,,,,
20:00:15:170,190,18929812,0.62,0.63,0.83,,,,,,,,,,,
20:00:15:172,200,18933561,0.64,0.65,8.71,,,,,,,,,,,
20:00:15:175,210,18937207,0.66,0.67,4.68,,,,,,,,,,,
20:00:15:178,220,18940734,0.68,0.68,1.75,,,,,,,,,,,
20:00:15:180,230,18944204,0.69,0.7,9.43,,,,,,,,,,,
20:00:15:183,240,18947575,0.72,0.72,5.94,,,,,,,,,,,
20:00:15:185,250,18950825,0.74,0.74,2.73,,,,,,,,,,,
20:00:15:188,260,18954007,0.75,0.76,11.2,,,,,,,,,,,
20:00:15:190,270,18957114,0.77,0.78,9.55,,,,,,,,,,,
20:00:15:193,280,18960134,0.79,0.8,8.57,,,,,,,,,,,
20:00:15:195,290,18963081,0.81,0.81,4.23,,,,,,,,,,,
20:00:15:197,300,18965966,0.83,0.83,4.53,,,,,,,,,,,
20:00:15:200,310,18968792,0.84,0.85,6.88,,,,,,,,,,,
20:00:15:203,320,18971560,0.86,0.86,4.97,,,,,,,,,,,
20:00:15:205,330,18974292,0.89,0.89,2.39,,,,,,,,,,,
20:00:15:207,340,18976913,0.94,0.94,8.44,,,,,,,,,,,
20:00:15:210,350,18979411,0.95,0.97,15.12,,,,,,,,,,,
20:00:15:213,360,18981845,0.99,1,12.23,,,,,,,,,,,
20:00:15:216,370,18984210,1.01,1.02,18.9,,,,,,,,,,,
20:00:15:219,380,18986515,1.05,1.06,5.36,,,,,,,,,,,
20:00:15:221,390,18988732,1.06,1.07,4.09,,,,,,,,,,,
20:00:15:224,400,18990936,1.07,1.08,12.77,,,,,,,,,,,
20:00:15:226,410,18993110,1.1,1.11,7.61,,,,,,,,,,,
20:00:15:228,420,18995236,1.12,1.13,9.7,,,,,,,,,,,
20:00:15:231,430,18997321,1.13,1.14,16.7,,,,,,,,,,,
20:00:15:234,440,18999382,1.14,1.14,-5.05,,,,,,,,,,,
20:00:15:236,450,19001438,1.14,1.14,0,,,,,,,,,,,
20:00:15:238,460,19003492,1.14,1.14,-3.36,,,,,,,,,,,
20:00:15:242,470,19005551,1.13,1.13,-1.62,,,,,,,,,,,
20:00:15:244,480,19007632,1.14,1.15,11.78,,,,,,,,,,,
20:00:15:246,490,19009688,1.16,1.16,8.84,,,,,,,,,,,
20:00:15:249,500,19011714,1.15,1.15,3.47,,,,,,,,,,,
20:00:15:252,510,19013752,1.14,1.14,-1.68,,,,,,,,,,,
20:00:15:254,520,19015808,1.14,1.15,3.39,,,,,,,,,,,
20:00:15:257,530,19017860,1.15,1.16,12.35,,,,,,,,,,,
20:00:15:259,540,19019882,1.17,1.18,16.57,,,,,,,,,,,
20:00:15:262,550,19021875,1.18,1.18,0,,,,,,,,,,,
20:00:15:264,560,19023873,1.16,1.14,-25.89,,,,,,,,,,,
20:00:15:267,570,19025918,1.13,1.12,-11.4,,,,,,,,,,,
20:00:15:269,580,19028004,1.12,1.12,4.77,,,,,,,,,,,
20:00:15:272,590,19030103,1.13,1.13,-4.91,,,,,,,,,,,
20:00:15:275,600,19032179,1.14,1.13,-14.87,,,,,,,,,,,
20:00:15:278,610,19034254,1.11,1.11,-4.65,,,,,,,,,,,
20:00:15:280,620,19036373,1.09,1.08,-11.57,,,,,,,,,,,
20:00:15:283,630,19038544,1.07,1.05,-13.52,,,,,,,,,,,
20:00:15:286,640,19040761,1.05,1.05,1.3,,,,,,,,,,,
20:00:15:288,650,19043010,1.05,1.04,-15.54,,,,,,,,,,,
20:00:15:292,660,19045257,1.03,1.03,-4.95,,,,,,,,,,,
20:00:15:294,670,19047538,1.01,1,-10.34,,,,,,,,,,,
20:00:15:296,680,19049879,1,0.99,-7.8,,,,,,,,,,,
20:00:15:299,690,19052250,0.98,0.98,3.21,,,,,,,,,,,
20:00:15:301,700,19054642,0.99,0.98,-2.17,,,,,,,,,,,
20:00:15:304,710,19057032,0.98,0.98,2.14,,,,,,,,,,,
20:00:15:306,720,19059421,0.99,0.99,-1.11,,,,,,,,,,,
20:00:15:309,730,19061793,1,1,3.41,,,,,,,,,,,
20:00:15:312,740,19064141,1.01,1.01,0,,,,,,,,,,,
20:00:15:314,750,19066454,1.02,1.04,13.51,,,,,,,,,,,
20:00:15:317,760,19068732,1.05,1.05,9.2,,,,,,,,,,,
20:00:15:319,770,19070958,1.07,1.07,0,,,,,,,,,,,
20:00:15:322,780,19073151,1.07,1.07,-4.19,,,,,,,,,,,
20:00:15:325,790,19075344,1.06,1.05,-3.97,,,,,,,,,,,
20:00:15:327,800,19077575,1.04,1.04,3.83,,,,,,,,,,,
20:00:15:330,810,19079830,1.05,1.06,13.42,,,,,,,,,,,
20:00:15:332,820,19082044,1.09,1.11,16.52,,,,,,,,,,,
20:00:15:335,830,19084177,1.13,1.14,13.2,,,,,,,,,,,
20:00:15:337,840,19086247,1.15,1.14,-1.7,,,,,,,,,,,
20:00:15:340,850,19088300,1.14,1.14,-1.67,,,,,,,,,,,
20:00:15:342,860,19090363,1.14,1.14,10.09,,,,,,,,,,,
20:00:15:345,870,19092422,1.16,1.17,17.95,,,,,,,,,,,
20:00:15:348,880,19094431,1.2,1.21,17.9,,,,,,,,,,,
20:00:15:350,890,19096373,1.24,1.25,10.98,,,,,,,,,,,
20:00:15:353,900,19098253,1.26,1.27,16,,,,,,,,,,,
20:00:15:356,910,19100108,1.27,1.27,-4.65,,,,,,,,,,,
20:00:15:360,920,19101957,1.28,1.28,2.35,,,,,,,,,,,
20:00:15:360,930,19103796,1.29,1.29,9.69,,,,,,,,,,,
20:00:15:363,940,19105616,1.32,1.32,7.8,,,,,,,,,,,
20:00:15:365,950,19107391,1.35,1.38,40.59,,,,,,,,,,,
20:00:15:368,960,19109102,1.4,1.43,38.25,,,,,,,,,,,
20:00:15:371,970,19110758,1.44,1.45,17.14,,,,,,,,,,,
20:00:15:373,980,19112377,1.48,1.49,18.68,,,,,,,,,,,
20:00:15:376,990,19113957,1.5,1.49,-11.37,,,,,,,,,,,
20:00:15:379,1000,19115526,1.5,1.5,3.8,,,,,,,,,,,
20:00:15:381,1010,19117095,1.51,1.51,0,,,,,,,,,,,
20:00:15:384,1020,19118649,1.51,1.51,3.93,,,,,,,,,,,
20:00:15:386,1030,19120203,1.51,1.52,15.7,,,,,,,,,,,
20:00:15:389,1040,19121755,1.52,1.52,3.98,,,,,,,,,,,
20:00:15:392,1050,19123301,1.53,1.54,20.37,,,,,,,,,,,
20:00:15:394,1060,19124833,1.55,1.55,8.39,,,,,,,,,,,
20:00:15:397,1070,19126347,1.57,1.58,26.55,,,,,,,,,,,
20:00:15:399,1080,19127837,1.59,1.61,23.2,,,,,,,,,,,
20:00:15:403,1090,19129302,1.63,1.63,0,,,,,,,,,,,
20:00:15:405,1100,19130740,1.64,1.64,4.98,,,,,,,,,,,
20:00:15:408,1110,19132173,1.63,1.62,-19.57,,,,,,,,,,,
20:00:15:411,1120,19133620,1.6,1.59,-18.22,,,,,,,,,,,
20:00:15:414,1130,19135102,1.55,1.54,-29.28,,,,,,,,,,,
20:00:15:416,1140,19136625,1.51,1.5,-11.62,,,,,,,,,,,
20:00:15:419,1150,19138186,1.49,1.5,3.79,,,,,,,,,,,
20:00:15:422,1160,19139759,1.5,1.51,3.85,,,,,,,,,,,
20:00:15:423,1170,19141322,1.5,1.5,0,,,,,,,,,,,
20:00:15:427,1180,19142889,1.49,1.49,0,,,,,,,,,,,
20:00:15:429,1190,19144464,1.47,1.47,-3.6,,,,,,,,,,,
20:00:15:432,1200,19146065,1.44,1.41,-36.02,,,,,,,,,,,
20:00:15:435,1210,19147721,1.38,1.36,-23.13,,,,,,,,,,,
20:00:15:438,1220,19149447,1.33,1.31,-25.9,,,,,,,,,,,
20:00:15:441,1230,19151234,1.29,1.28,-14.44,,,,,,,,,,,
20:00:15:443,1240,19153063,1.28,1.27,-7.03,,,,,,,,,,,
20:00:15:446,1250,19154908,1.28,1.27,-11.63,,,,,,,,,,,
20:00:15:449,1260,19156759,1.26,1.26,-11.31,,,,,,,,,,,
20:00:15:452,1270,19158628,1.24,1.22,-18.77,,,,,,,,,,,
20:00:15:454,1280,19160546,1.2,1.19,-19.36,,,,,,,,,,,
20:00:15:456,1290,19162522,1.16,1.15,-8.65,,,,,,,,,,,
20:00:15:460,1300,19164562,1.15,1.14,-3.4,,,,,,,,,,,
20:00:15:463,1310,19166615,1.13,1.13,-8.17,,,,,,,,,,,
20:00:15:465,1320,19168693,1.12,1.11,-11.13,,,,,,,,,,,
20:00:15:467,1330,19170799,1.11,1.1,-7.68,,,,,,,,,,,
20:00:15:470,1340,19172921,1.11,1.11,-4.65,,,,,,,,,,,
20:00:15:473,1350,19175035,1.12,1.13,11.09,,,,,,,,,,,
20:00:15:476,1360,19177136,1.12,1.11,-7.84,,,,,,,,,,,
20:00:15:478,1370,19179250,1.1,1.08,-20.38,,,,,,,,,,,
20:00:15:481,1380,19181413,1.07,1.05,-13.5,,,,,,,,,,,
20:00:15:484,1390,19183634,1.05,1.04,-6.45,,,,,,,,,,,
20:00:15:487,1400,19185887,1.03,1.03,0,,,,,,,,,,,
20:00:15:489,1410,19188161,1.03,1.03,1.23,,,,,,,,,,,
20:00:15:492,1420,19190446,1.04,1.04,8.94,,,,,,,,,,,
20:00:15:495,1430,19192703,1.06,1.07,9.58,,,,,,,,,,,
20:00:15:497,1440,19194905,1.08,1.08,0,,,,,,,,,,,
20:00:15:499,1450,19197088,1.07,1.06,-12.21,,,,,,,,,,,
20:00:15:502,1460,19199305,1.04,1.02,-17.31,,,,,,,,,,,
20:00:15:505,1470,19201593,1.01,1,-9.28,,,,,,,,,,,
20:00:15:508,1480,19203928,1.01,1.01,6.97,,,,,,,,,,,
20:00:15:510,1490,19206253,1.02,1.02,1.21,,,,,,,,,,,
20:00:15:513,1500,19208546,1.02,1.02,-1.21,,,,,,,,,,,
20:00:15:516,1510,19210852,1,0.99,-13.37,,,,,,,,,,,
20:00:15:518,1520,19213222,0.96,0.95,-7.92,,,,,,,,,,,
20:00:15:521,1530,19215686,0.94,0.93,-5.58,,,,,,,,,,,
20:00:15:523,1540,19218194,0.94,0.94,1.88,,,,,,,,,,,
20:00:15:527,1550,19220695,0.94,0.95,6.67,,,,,,,,,,,
20:00:15:529,1560,19223188,0.94,0.92,-14.48,,,,,,,,,,,
20:00:15:532,1570,19225733,0.89,0.87,-19.95,,,,,,,,,,,
20:00:15:535,1580,19228420,0.85,0.85,-0.7,,,,,,,,,,,
20:00:15:538,1590,19231180,0.84,0.83,-13.72,,,,,,,,,,,
20:00:15:540,1600,19234009,0.82,0.82,-1.26,,,,,,,,,,,
20:00:15:542,1610,19236863,0.82,0.8,-13.18,,,,,,,,,,,
20:00:15:545,1620,19239786,0.77,0.75,-14.92,,,,,,,,,,,
20:00:15:549,1630,19242908,0.7,0.69,-12.87,,,,,,,,,,,
20:00:15:551,1640,19246312,0.67,0.67,1.73,,,,,,,,,,,
20:00:15:553,1650,19249793,0.69,0.7,9.92,,,,,,,,,,,
20:00:15:557,1660,19253174,0.67,0.63,-31.8,,,,,,,,,,,
20:00:15:560,1670,19256849,0.57,0.54,-20.47,,,,,,,,,,,
20:00:15:562,1680,19261152,0.51,0.49,-9.07,,,,,,,,,,,
