20:07:53:878,680,17066326,0.76,0.75,-6.34,,,,,,,,,,,,,
20:07:53:881,690,17069438,0.76,0.75,-4.36,,,,,,,,,,,,,
20:07:53:884,700,17072560,0.74,0.74,0.93,,,,,,,,,,,,,
20:07:53:886,710,17075719,0.75,0.75,0.96,,,,,,,,,,,,,
20:07:53:889,720,17078857,0.74,0.73,-3.15,,,,,,,,,,,,,
20:07:53:891,730,17082047,0.73,0.73,2.2,,,,,,,,,,,,,
20:07:53:894,740,17085265,0.74,0.75,7.04,,,,,,,,,,,,,
20:07:53:896,750,17088414,0.76,0.76,0.49,,,,,,,,,,,,,
20:07:53:899,760,17091521,0.75,0.75,-0.48,,,,,,,,,,,,,
20:07:53:901,770,17094649,0.75,0.75,0.48,,,,,,,,,,,,,
20:07:53:904,780,17097775,0.76,0.76,2.98,,,,,,,,,,,,,
20:07:53:906,790,17100867,0.76,0.76,0,,,,,,,,,,,,,
20:07:53:909,800,17103966,0.76,0.76,-0.49,,,,,,,,,,,,,
20:07:53:912,810,17107079,0.76,0.76,-0.49,,,,,,,,,,,,,
20:07:53:914,820,17110172,0.77,0.78,5.22,,,,,,,,,,,,,
20:07:53:917,830,17113210,0.78,0.78,0.55,,,,,,,,,,,,,
20:07:53:919,840,17116206,0.79,0.79,7.22,,,,,,,,,,,,,
20:07:53:922,850,17119182,0.79,0.8,4,,,,,,,,,,,,,
20:07:53:924,860,17122131,0.81,0.81,2.43,,,,,,,,,,,,,
20:07:53:927,870,17125014,0.83,0.84,7.81,,,,,,,,,,,,,
20:07:53:929,880,17127842,0.84,0.84,-2.01,,,,,,,,,,,,,
20:07:53:932,890,17130640,0.84,0.84,0,,,,,,,,,,,,,
20:07:53:934,900,17133424,0.85,0.86,11.97,,,,,,,,,,,,,
20:07:53:937,910,17136172,0.87,0.88,7.57,,,,,,,,,,,,,
20:07:53:940,920,17138850,0.89,0.9,6.49,,,,,,,,,,,,,
20:07:53:942,930,17141468,0.9,0.91,7.56,,,,,,,,,,,,,
20:07:53:945,940,17144064,0.92,0.91,-4.33,,,,,,,,,,,,,
20:07:53:947,950,17146631,0.93,0.94,7.32,,,,,,,,,,,,,
20:07:53:950,960,17149146,0.95,0.96,14.75,,,,,,,,,,,,,
20:07:53:952,970,17151599,0.98,0.99,15.05,,,,,,,,,,,,,
20:07:53:955,980,17153983,1,1.01,10.35,,,,,,,,,,,,,
20:07:53:958,990,17156316,1.03,1.04,12.53,,,,,,,,,,,,,
20:07:53:960,1000,17158584,1.05,1.05,0,,,,,,,,,,,,,
20:07:53:963,1010,17160824,1.06,1.07,8.16,,,,,,,,,,,,,
20:07:53:965,1020,17163029,1.09,1.09,1.46,,,,,,,,,,,,,
20:07:53:968,1030,17165185,1.09,1.1,10.48,,,,,,,,,,,,,
20:07:53:971,1040,17167320,1.11,1.12,7.76,,,,,,,,,,,,,
20:07:53:973,1050,17169433,1.12,1.13,8.02,,,,,,,,,,,,,
20:07:53:976,1060,17171521,1.13,1.14,8.33,,,,,,,,,,,,,
20:07:53:979,1070,17173585,1.14,1.15,5.1,,,,,,,,,,,,,
20:07:53:981,1080,17175630,1.15,1.14,-5.1,,,,,,,,,,,,,
20:07:53:984,1090,17177687,1.14,1.12,-16.46,,,,,,,,,,,,,
20:07:53:987,1100,17179769,1.11,1.1,-13.7,,,,,,,,,,,,,
20:07:53:989,1110,17181902,1.1,1.1,3,,,,,,,,,,,,,
20:07:53:992,1120,17184040,1.1,1.1,3.04,,,,,,,,,,,,,
20:07:53:995,1130,17186171,1.1,1.1,1.52,,,,,,,,,,,,,
20:07:53:997,1140,17188303,1.1,1.1,-3,,,,,,,,,,,,,
20:07:54:000,1150,17190442,1.09,1.09,-1.48,,,,,,,,,,,,,
20:07:54:003,1160,17192596,1.08,1.07,-9.95,,,,,,,,,,,,,
20:07:54:005,1170,17194782,1.06,1.05,-13.14,,,,,,,,,,,,,
20:07:54:008,1180,17197021,1.04,1.04,1.26,,,,,,,,,,,,,
20:07:54:011,1190,17199290,1.03,1.03,-7.39,,,,,,,,,,,,,
20:07:54:013,1200,17201573,1.02,1.02,-9.58,,,,,,,,,,,,,
20:07:54:016,1210,17203884,1,0.99,-16.6,,,,,,,,,,,,,
20:07:54:019,1220,17206258,0.97,0.96,-13.12,,,,,,,,,,,,,
20:07:54:022,1230,17208707,0.94,0.94,-1.87,,,,,,,,,,,,,
20:07:54:024,1240,17211213,0.92,0.93,5.38,,,,,,,,,,,,,
20:07:54:027,1250,17213757,0.93,0.92,-4.45,,,,,,,,,,,,,
20:07:54:030,1260,17216312,0.91,0.9,-8.41,,,,,,,,,,,,,
20:07:54:032,1270,17218918,0.88,0.86,-15.69,,,,,,,,,,,,,
20:07:54:035,1280,17221620,0.85,0.84,-8.97,,,,,,,,,,,,,
20:07:54:038,1290,17224391,0.84,0.84,-4.04,,,,,,,,,,,,,
20:07:54:040,1300,17227187,0.83,0.83,-2.6,,,,,,,,,,,,,
20:07:54:043,1310,17230010,0.84,0.83,-4.58,,,,,,,,,,,,,
20:07:54:046,1320,17232838,0.82,0.81,-6.62,,,,,,,,,,,,,
20:07:54:048,1330,17235739,0.8,0.8,1.17,,,,,,,,,,,,,
20:07:54:051,1340,17238670,0.81,0.81,1.79,,,,,,,,,,,,,
20:07:54:054,1350,17241578,0.81,0.81,-3.04,,,,,,,,,,,,,
20:07:54:056,1360,17244472,0.81,0.8,-9.98,,,,,,,,,,,,,
20:07:54:059,1370,17247400,0.79,0.79,-5.59,,,,,,,,,,,,,
20:07:54:062,1380,17250377,0.78,0.78,-3.25,,,,,,,,,,,,,
20:07:54:065,1390,17253381,0.78,0.77,-1.58,,,,,,,,,,,,,
20:07:54:067,1400,17256413,0.77,0.76,-11.52,,,,,,,,,,,,,
20:07:54:070,1410,17259508,0.74,0.72,-13.72,,,,,,,,,,,,,
20:07:54:073,1420,17262739,0.71,0.7,-7,,,,,,,,,,,,,
20:07:54:075,1430,17266100,0.7,0.71,9.09,,,,,,,,,,,,,
20:07:54:078,1440,17269426,0.73,0.74,9.77,,,,,,,,,,,,,
20:07:54:081,1450,17272622,0.74,0.73,-5.02,,,,,,,,,,,,,
20:07:54:083,1460,17275819,0.71,0.7,-9.92,,,,,,,,,,,,,
20:07:54:086,1470,17279164,0.69,0.69,4.82,,,,,,,,,,,,,
