20:01:25:555,10852041,-0.08
20:01:25:774,11070999,-0.06
20:01:25:913,11210190,-0.11
20:01:25:985,11281616,-0.07
20:01:26:049,11346269,-0.17
20:01:26:175,11472305,-0.27
20:01:26:280,11577337,-0.19
20:01:27:147,12443490,-0.12
20:01:27:229,12525928,-0.02
20:01:27:296,12592705,-0.04
20:01:27:443,12740422,1.65
20:01:27:453,12750316,2.08
20:01:27:459,12755987,1.28
20:01:27:463,12760336,1.94
20:01:27:467,12763764,0.15
20:01:27:472,12769349,0.57
20:01:27:477,12774066,2.62
20:01:27:482,12777812,0.51
20:01:27:484,12781517,1.16
20:01:27:488,12784954,2.13
20:01:27:491,12787964,3.75
20:01:27:494,12790963,3.96
20:01:27:497,12793979,2.04
20:01:27:500,12796898,1.75
20:01:27:504,12801026,4.11
20:01:27:508,12805094,3.66
20:01:27:512,12809109,5.4
20:01:27:516,12813063,3.11
20:01:27:520,12816810,-0.26
20:01:27:524,12820582,1.47
20:01:27:527,12824522,7.8
20:01:27:531,12828143,-4.17
20:01:27:535,12831658,0.48
20:01:27:538,12835181,-1.65
20:01:27:541,12838336,2.88
20:01:27:544,12841164,7.62
20:01:27:547,12844023,-2.2
20:01:27:550,12846903,1.58
20:01:27:554,12850547,3.76
20:01:27:557,12853833,0.59
20:01:27:560,12857144,0.09
20:01:27:564,12860450,1.26
20:01:27:568,12864490,-0.14
20:01:27:571,12867811,3.19
20:01:27:574,12871049,3.09
20:01:27:577,12874286,-2.1
20:01:27:581,12877739,0.57
20:01:27:584,12881189,0.32
20:01:27:588,12884578,0.93
20:01:27:591,12888125,1.04
20:01:27:595,12891564,0.14
20:01:27:598,12894815,-0.37
20:01:27:601,12898174,0.95
20:01:27:605,12901562,1.63
20:01:27:608,12904916,0.31
20:01:27:611,12908159,1.29
20:01:27:614,12911371,0.15
20:01:27:618,12914820,-1.63
20:01:27:621,12918316,-0.53
20:01:27:625,12921804,-0.03
20:01:27:628,12925208,-0.5
20:01:27:632,12928610,-0.26
20:01:27:635,12932294,1.04
20:01:27:638,12935154,1.37
20:01:27:642,12938860,1.85
20:01:27:645,12942496,0.85
20:01:27:649,12946135,0.3
20:01:27:653,12949834,0.54
20:01:27:656,12953520,0.42
20:01:27:660,12957051,0.49
20:01:27:664,12960580,-0.5
20:01:27:667,12964197,-1.72
20:01:27:671,12967853,-1.37
20:01:27:675,12971615,-1.21
20:01:27:678,12975322,-1.11
20:01:27:682,12978955,-1.41
20:01:27:685,12981857,-1.25
20:01:27:688,12984942,0.9
20:01:27:692,12988912,0.93
20:01:27:695,12991808,0.44
20:01:27:699,12995689,0.41
20:01:27:702,12998712,-0.08
20:01:27:705,13001640,0.35
20:01:27:708,13005375,1.01
20:01:27:711,13008212,0.44
20:01:27:714,13011179,0.91
20:01:27:717,13014223,1.06
20:01:27:720,13017321,0.79
20:01:27:723,13020462,-0.64
20:01:27:727,13023767,-1.39
20:01:27:730,13027081,-0.42
20:01:27:733,13030344,0.14
20:01:27:737,13033699,0.93
20:01:27:740,13037061,0.73
20:01:27:743,13040374,1.15
20:01:27:747,13043701,1.03
20:01:27:750,13046933,0.23
20:01:27:753,13050196,0.22
20:01:27:756,13053452,0.43
20:01:27:760,13056593,0.3
20:01:27:763,13059830,0.48
20:01:27:766,13063096,-0.18
20:01:27:769,13066302,-1.27
20:01:27:773,13069510,-1.3
20:01:27:776,13072655,-0.75
20:01:27:779,13075778,0.08
20:01:27:782,13078858,1.05
20:01:27:785,13081939,1.34
20:01:27:788,13085044,1.29
20:01:27:791,13088167,1.53
20:01:27:794,13091322,1.64
20:01:27:797,13094439,1.3
20:01:27:801,13097518,-0.04
20:01:27:804,13100663,-0.26
20:01:27:807,13103781,0.94
20:01:27:810,13106830,1.19
20:01:27:813,13109925,1.78
