encoder_times,encoder_accel,encoder_vel,acelerometer_times,acelerometer_accel
,,,15651378.0,-1.6
,,,15654416.0,-2.07
,,,15657265.0,-1.97
,,,15660145.0,-2.56
,,,15663067.0,-2.66
,,,15666038.0,-3.0
,,,15669034.0,-3.16
,,,15672054.0,-3.57
,,,15675030.0,-3.54
,,,15677975.0,-3.87
,,,15680963.0,-4.5
,,,15683829.0,-3.85
,,,15686692.0,-4.25
,,,15689575.0,-5.07
,,,15692484.0,-5.54
,,,15695487.0,-4.75
,,,15698566.0,-6.06
,,,15701642.0,-5.33
,,,15704602.0,-7.31
,,,15707506.0,-4.52
,,,15710610.0,-7.63
,,,15713479.0,-6.96
,,,15716328.0,-6.66
,,,15719428.0,-6.87
,,,15722293.0,-7.27
,,,15725164.0,-6.93
,,,15728269.0,-8.14
,,,15731377.0,-6.97
,,,15734235.0,-7.81
,,,15737138.0,-7.01
,,,15740041.0,-7.38
,,,15742958.0,-6.94
,,,15745892.0,-7.32
,,,15748910.0,-7.89
,,,15751958.0,-7.25
,,,15755054.0,-6.51
,,,15757961.0,-6.73
,,,15761035.0,-7.01
,,,15763889.0,-6.75
,,,15766843.0,-7.11
,,,15769978.0,-6.49
,,,15772917.0,-6.96
,,,15776126.0,-8.16
,,,15779018.0,-7.21
,,,15782154.0,-7.77
,,,15785166.0,-8.34
,,,15788400.0,-9.02
,,,15791887.0,-8.47
,,,15794856.0,-8.64
,,,15798310.0,-7.79
,,,15801412.0,-7.3
,,,15804596.0,-7.9
,,,15808587.0,-6.52
,,,15811776.0,-7.49
,,,15816463.0,-6.22
,,,15819355.0,-7.91
,,,16265884.0,-0.18
,,,16275252.0,-0.81
,,,16283524.0,0.07
,,,16291523.0,-0.45
,,,16299747.0,-0.36
,,,16308122.0,-0.16
,,,16319140.0,-1.23
,,,16800107.0,-0.83
,,,16819141.0,-0.24
,,,16837008.0,-0.55
,,,16860555.0,-0.93
,,,18702750.0,-3.82
,,,18722473.0,2.75
,,,18726819.0,5.33
,,,18732567.0,6.03
,,,18736048.0,-0.14
,,,18739155.0,-5.17
,,,19368258.0,1.23
,,,19374214.0,2.59
,,,19379768.0,2.75
,,,19383843.0,2.35
,,,19388173.0,-2.22
,,,19699573.0,3.99
,,,24132491.0,-0.42
,,,24276767.0,-0.46
,,,24324296.0,-0.54
,,,24361557.0,-0.47
,,,24389537.0,-0.59
,,,24413949.0,-0.56
,,,24435167.0,-0.34
,,,24453087.0,-0.53
,,,24468925.0,-0.57
,,,24481517.0,-0.62
,,,24491261.0,-0.27
,,,24499208.0,-0.84
,,,24506479.0,-0.35
,,,24514152.0,-0.46
,,,24521642.0,-0.61
,,,24529107.0,-0.19
,,,24536602.0,-0.3
,,,24544005.0,-0.13
,,,24550884.0,-0.57
,,,24557928.0,-0.61
,,,24564767.0,-0.35
,,,24571391.0,-1.19
,,,24577855.0,0.55
,,,24584161.0,1.09
,,,24591243.0,-1.26
