time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
19:40:39:3740,0.0195,-0.0675,-0.0970,0.120
19:40:39:3920,0.0195,-0.0675,-0.0970,0.120
19:40:39:3930,0.0054,-0.0824,-0.0825,0.117
19:40:39:3930,0.0054,-0.0824,-0.0825,0.117
19:40:39:3940,0.0054,-0.0824,-0.0825,0.117
19:40:39:3990,0.0054,-0.0824,-0.0825,0.117
19:40:39:4030,-0.0087,-0.0698,-0.1226,0.141
19:40:39:4079,-0.0087,-0.0698,-0.1226,0.141
19:40:39:4130,-0.0087,-0.0698,-0.1226,0.141
19:40:39:4190,-0.0087,-0.0698,-0.1226,0.141
19:40:39:4230,-0.0090,-0.0707,-0.0811,0.108
19:40:39:4290,-0.0090,-0.0707,-0.0811,0.108
19:40:39:4330,-0.0090,-0.0707,-0.0811,0.108
19:40:39:4380,-0.0090,-0.0707,-0.0811,0.108
19:40:39:4430,-0.0094,-0.0578,-0.0670,0.089
19:40:39:4480,-0.0094,-0.0578,-0.0670,0.089
19:40:39:4530,-0.0094,-0.0578,-0.0670,0.089
19:40:39:4580,-0.0094,-0.0578,-0.0670,0.089
19:40:39:4630,0.0173,-0.0446,-0.0803,0.094
19:40:39:4680,0.0173,-0.0446,-0.0803,0.094
19:40:39:4730,0.0173,-0.0446,-0.0803,0.094
19:40:39:4790,0.0173,-0.0446,-0.0803,0.094
19:40:39:4820,-0.0104,-0.0721,-0.0938,0.119
19:40:39:4880,-0.0104,-0.0721,-0.0938,0.119
19:40:39:4920,-0.0104,-0.0721,-0.0938,0.119
19:40:39:4970,-0.0104,-0.0721,-0.0938,0.119
19:40:39:5030,-0.0244,-0.0584,-0.0938,0.113
19:40:39:5080,-0.0244,-0.0584,-0.0938,0.113
19:40:39:5250,-0.0244,-0.0584,-0.0938,0.113
19:40:39:5250,-0.0244,-0.0584,-0.0938,0.113
19:40:39:5260,0.0025,-0.0854,-0.0804,0.117
19:40:39:5320,0.0025,-0.0854,-0.0804,0.117
19:40:39:5330,0.0025,-0.0854,-0.0804,0.117
19:40:39:5370,0.0025,-0.0854,-0.0804,0.117
19:40:39:5420,0.0022,-0.0307,-0.1350,0.138
19:40:39:5470,0.0022,-0.0307,-0.1350,0.138
19:40:39:5520,0.0022,-0.0307,-0.1350,0.138
19:40:39:5560,0.0022,-0.0307,-0.1350,0.138
19:40:39:5629,-0.0117,-0.0306,-0.1078,0.113
19:40:39:5659,-0.0117,-0.0306,-0.1078,0.113
19:40:39:5719,-0.0117,-0.0306,-0.1078,0.113
19:40:39:5760,-0.0117,-0.0306,-0.1078,0.113
19:40:39:5810,-0.0254,-0.0306,-0.1759,0.180
19:40:39:5860,-0.0254,-0.0306,-0.1759,0.180
19:40:39:5910,-0.0254,-0.0306,-0.1759,0.180
19:40:39:5960,-0.0254,-0.0306,-0.1759,0.180
19:40:39:6010,0.0154,-0.0307,-0.1077,0.113
19:40:39:6060,0.0154,-0.0307,-0.1077,0.113
19:40:39:6120,0.0154,-0.0307,-0.1077,0.113
19:40:39:6160,0.0154,-0.0307,-0.1077,0.113
19:40:39:6210,-0.0118,0.0234,-0.1619,0.164
19:40:39:6250,-0.0118,0.0234,-0.1619,0.164
19:40:39:6310,-0.0118,0.0234,-0.1619,0.164
