time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003932,0.0265,-0.0111,-0.0880,0.093
0.004766,0.0265,-0.0111,-0.0880,0.093
0.005472,0.0265,-0.0111,-0.0880,0.093
0.005997,-0.0142,-0.0155,-0.1538,0.155
0.015360,-0.0142,-0.0155,-0.1538,0.155
0.015977,-0.0142,-0.0155,-0.1538,0.155
0.024019,-0.0142,-0.0155,-0.1538,0.155
0.024597,0.0132,-0.0466,-0.0701,0.085
0.029535,0.0132,-0.0466,-0.0701,0.085
0.034260,0.0132,-0.0466,-0.0701,0.085
0.039178,0.0132,-0.0466,-0.0701,0.085
0.044091,0.0134,-0.0501,-0.0955,0.109
0.049059,0.0134,-0.0501,-0.0955,0.109
0.055866,0.0134,-0.0501,-0.0955,0.109
0.058888,0.0134,-0.0501,-0.0955,0.109
0.063939,0.0135,-0.0533,-0.0803,0.097
0.068897,0.0135,-0.0533,-0.0803,0.097
0.077294,0.0135,-0.0533,-0.0803,0.097
0.078570,0.0135,-0.0533,-0.0803,0.097
0.083650,-0.0000,-0.0560,-0.1197,0.132
0.088577,-0.0000,-0.0560,-0.1197,0.132
0.094272,-0.0000,-0.0560,-0.1197,0.132
0.098795,-0.0000,-0.0560,-0.1197,0.132
0.106200,0.0001,-0.0586,-0.1048,0.120
0.108377,0.0001,-0.0586,-0.1048,0.120
0.113371,0.0001,-0.0586,-0.1048,0.120
0.118341,0.0001,-0.0586,-0.1048,0.120
0.123439,0.0002,-0.0608,-0.1309,0.144
0.128091,0.0002,-0.0608,-0.1309,0.144
0.133306,0.0002,-0.0608,-0.1309,0.144
0.138785,0.0002,-0.0608,-0.1309,0.144
0.142712,0.0139,-0.1444,-0.0210,0.147
0.147907,0.0139,-0.1444,-0.0210,0.147
0.155622,0.0139,-0.1444,-0.0210,0.147
0.157670,0.0139,-0.1444,-0.0210,0.147
0.162725,0.0002,-0.0638,-0.0885,0.109
0.168066,0.0002,-0.0638,-0.0885,0.109
0.178961,0.0002,-0.0638,-0.0885,0.109
0.179805,0.0002,-0.0638,-0.0885,0.109
0.182433,0.0002,-0.1324,-0.0746,0.152
0.191998,0.0002,-0.1324,-0.0746,0.152
0.192535,0.0002,-0.1324,-0.0746,0.152
0.197298,0.0002,-0.1324,-0.0746,0.152
0.204804,0.0002,-0.1324,-0.0746,0.152
0.206940,-0.0136,-0.0773,-0.1294,0.151
0.212477,-0.0136,-0.0773,-0.1294,0.151
0.217061,-0.0136,-0.0773,-0.1294,0.151
0.221951,-0.0136,-0.0773,-0.1294,0.151
0.227189,0.0134,-0.0896,-0.0347,0.097
0.232197,0.0134,-0.0896,-0.0347,0.097
0.240041,0.0134,-0.0896,-0.0347,0.097
0.241763,0.0134,-0.0896,-0.0347,0.097
0.246429,0.0267,-0.1148,-0.0903,0.148
0.251520,0.0267,-0.1148,-0.0903,0.148
0.257192,0.0267,-0.1148,-0.0903,0.148
0.261454,0.0267,-0.1148,-0.0903,0.148
0.266180,-0.0010,-0.1393,-0.0099,0.140
0.278284,-0.0010,-0.1393,-0.0099,0.140
0.279002,-0.0010,-0.1393,-0.0099,0.140
0.280902,-0.0010,-0.1393,-0.0099,0.140
0.290079,-0.0014,-0.1224,-0.0661,0.139
0.290886,-0.0014,-0.1224,-0.0661,0.139
0.296012,-0.0014,-0.1224,-0.0661,0.139
0.300924,-0.0014,-0.1224,-0.0661,0.139
0.305992,-0.0018,-0.0512,-0.1494,0.158
