0,1821832112,0.02,0.01,-0.13,,,,,,,,
10,1821954313,0.08,0.11,2.89,,,,,,,,
20,1821977984,0.16,0.17,2.17,,,,,,,,
30,1821991723,0.21,0.23,5.67,,,,,,,,
40,1822002260,0.25,0.27,5.44,,,,,,,,
50,1822011226,0.3,0.3,0.48,,,Pulso,Inicial:,20,Pulso,Propulsiva:,1244
60,1822019049,0.33,0.34,5.67,,,,,,,,
70,1822026031,0.34,0.35,0.18,,,Recorrido:,32.64,,,,
80,1822032813,0.37,0.39,8.79,,,Velocidad,Media:,0.61,,,
90,1822038966,0.41,0.42,4.64,,,Velocidad,Propulsiva:,0.69,,,
100,1822044668,0.42,0.44,8.34,,,Velocidad,Máxima:,1.1,,,
110,1822050110,0.46,0.45,-0.74,,,,,,,,
120,1822055249,0.49,0.5,5.25,,,,,,,,
130,1822060021,0.5,0.5,-1.28,,,,,,,,
140,1822064701,0.52,0.53,4.96,,,,,,,,
150,1822069195,0.54,0.55,3.47,,,,,,,,
160,1822073503,0.55,0.55,-3.78,,,,,,,,
170,1822077763,0.56,0.56,5.19,,,,,,,,
180,1822081936,0.58,0.59,8.04,,,,,,,,
190,1822085960,0.6,0.61,7.15,,,,,,,,
200,1822089853,0.62,0.63,4.42,,,,,,,,
210,1822093606,0.64,0.64,2.07,,,,,,,,
220,1822097271,0.65,0.66,9.24,,,,,,,,
230,1822100835,0.69,0.7,9.13,,,,,,,,
240,1822104203,0.72,0.72,2.93,,,,,,,,
250,1822107470,0.73,0.73,3.11,,,,,,,,
260,1822110672,0.73,0.74,9.62,,,,,,,,
270,1822113835,0.75,0.79,33.57,,,,,,,,
280,1822116885,0.78,0.79,7.08,,,,,,,,
290,1822119876,0.8,0.8,4.61,,,,,,,,
300,1822122807,0.82,0.82,0,,,,,,,,
310,1822125667,0.84,0.84,4.67,,,,,,,,
320,1822128461,0.85,0.86,7.71,,,,,,,,
330,1822131205,0.88,0.9,17.71,,,,,,,,
340,1822133824,0.94,0.95,11.41,,,,,,,,
350,1822136308,0.96,0.96,1,,,,,,,,
360,1822138760,0.96,0.95,-2.95,,,,,,,,
370,1822141227,0.91,0.84,-69.1,,,,,,,,
380,1822143952,0.9,0.96,67.09,,,,,,,,
390,1822146457,1,1.02,23.13,,,,,,,,
400,1822148784,1.03,1.04,7.51,,,,,,,,
410,1822151058,1.04,1.03,-2.49,,,,,,,,
420,1822153330,1.03,1.03,-3.67,,,,,,,,
430,1822155616,1.03,1.03,4.91,,,,,,,,
440,1822157900,1.04,1.03,-8.74,,,,,,,,
450,1822160174,1.03,1.03,-1.24,,,,,,,,
460,1822162457,1.02,1.02,1.2,,,,,,,,
470,1822164760,1.03,1.04,9.91,,,,,,,,
480,1822167039,1.04,1.04,0,,,,,,,,
490,1822169300,1.03,1.03,-6.22,,,,,,,,
500,1822171579,1.02,1.01,-7.16,,,,,,,,
510,1822173893,1.01,1.01,2.31,,,,,,,,
520,1822176214,1.02,1.03,20.59,,,,,,,,
530,1822178506,1.04,1.04,-10.26,,,,,,,,
540,1822180770,1.03,1.02,-12.32,,,,,,,,
550,1822183059,1.01,1,-18.46,,,,,,,,
560,1822185404,0.98,0.96,-13.45,,,,,,,,
570,1822187827,0.96,0.98,11.28,,,,,,,,
580,1822190250,0.98,0.98,-4.23,,,,,,,,
590,1822192658,0.97,0.95,-14.91,,,,,,,,
600,1822195121,0.93,0.93,-7.27,,,,,,,,
610,1822197657,0.92,0.9,-15.38,,,,,,,,
620,1822200239,0.9,0.9,-5.76,,,,,,,,
630,1822202849,0.89,0.89,-5.57,,,,,,,,
640,1822205491,0.88,0.87,-10,,,,,,,,
650,1822208173,0.87,0.87,-1.5,,,,,,,,
660,1822210871,0.87,0.87,0,,,,,,,,
