1000,2248552526,1.36,1.35,-16.97,,,,,,,,
1010,2248554262,1.34,1.33,-10.82,,,,,,,,
1020,2248556021,1.33,1.33,-7.92,,,,,,,,
1030,2248557791,1.33,1.32,-10.56,,,,,,,,
1040,2248559562,1.33,1.34,8.09,,,,,,,,
1050,2248561321,1.34,1.35,10.95,,,,,,,,
1060,2248563073,1.34,1.32,-29.39,,,,,,,,
1070,2248564843,1.31,1.28,-29.52,,,,,,,,
1080,2248566664,1.26,1.24,-30.87,,,,,,,,
1090,2248568551,1.22,1.2,-22.07,,,,,,,,
1100,2248570499,1.19,1.19,-11.5,,,,,,,,
1110,2248572471,1.19,1.2,11.6,,,,,,,,
1120,2248574436,1.2,1.19,-9.61,,,,,,,,
1130,2248576408,1.18,1.17,-18.36,,,,,,,,
1140,2248578414,1.14,1.13,-16.74,,,,,,,,
1150,2248580490,1.11,1.09,-25.33,,,,,,,,
1160,2248582641,1.07,1.05,-18.8,,,,,,,,
1170,2248584867,1.04,1.03,-11.19,,,,,,,,
1180,2248587148,1.02,1.02,-4.79,,,,,,,,
1190,2248589457,1.01,1.01,-8.15,,,,,,,,
1200,2248591781,1,1,2.28,,,,,,,,
1210,2248594131,0.97,0.95,-20.26,,,,,,,,
1220,2248596577,0.94,0.94,0,,,,,,,,
1230,2248599076,0.94,0.94,6.53,,,,,,,,
1240,2248601574,0.95,0.96,8.78,,,,,,,,
1250,2248604033,0.96,0.96,0,,,,,,,,
1260,2248606467,0.97,0.98,1.04,,,,,,,,
1270,2248608886,0.98,0.97,-12.53,,,,,,,,
1280,2248611312,0.96,0.96,-4,,,,,,,,
1290,2248613767,0.95,0.94,-7.66,,,,,,,,
1300,2248616254,0.94,0.93,-4.63,,,,,,,,
1310,2248618772,0.92,0.92,1.78,,,,,,,,
1320,2248621316,0.93,0.93,4.52,,,,,,,,
1330,2248623847,0.93,0.93,2.74,,,,,,,,
1340,2248626373,0.93,0.92,-1.79,,,,,,,,
1350,2248628919,0.91,0.91,-3.44,,,,,,,,
1360,2248631497,0.91,0.91,4.24,,,,,,,,
1370,2248634081,0.92,0.92,0.87,,,,,,,,
1380,2248636642,0.92,0.93,2.68,,,,,,,,
1390,2248639188,0.92,0.92,-2.63,,,,,,,,
1400,2248641749,0.91,0.91,-1.69,,,,,,,,
1410,2248644340,0.9,0.9,2.45,,,,,,,,
1420,2248646963,0.89,0.9,3.25,,,,,,,,
1430,2248649586,0.9,0.89,-9.59,,,,,,,,
1440,2248652224,0.88,0.87,-14.35,,,,,,,,
1450,2248654920,0.86,0.86,5.09,,,,,,,,
1460,2248657642,0.86,0.86,-4.3,,,,,,,,
1470,2248660374,0.86,0.86,2.16,,,,,,,,
1480,2248663104,0.86,0.85,-7,,,,,,,,
1490,2248665871,0.83,0.82,-12.11,,,,,,,,
1500,2248668727,0.81,0.8,-7.69,,,,,,,,
1510,2248671666,0.77,0.72,-33.26,,,,,,,,
1520,2248674889,0.66,0.68,12.24,,,,,,,,
1530,2248678379,0.67,0.67,3.75,,,,,,,,
1540,2248681904,0.66,0.66,-0.99,,,,,,,,
1550,2248685460,0.64,0.62,-16.83,,,,,,,,
1560,2248689245,0.56,0.53,-19.24,,,,,,,,
1570,2248693614,0.51,0.49,-8,,,,,,,,
1580,2248698358,0.45,0.39,-25.68,,,,,,,,
