19:36:24:440,1.42,1.41,-16.13,,,,,,,,,
19:36:24:443,1.38,1.37,-11.7,,,,,,,,,
19:36:24:446,1.38,1.38,-5.94,,,,,,,,,
19:36:24:449,1.39,1.39,-3.02,,,,,,,,,
19:36:24:451,1.39,1.4,6.2,,,,,,,,,
19:36:24:454,1.39,1.4,12.35,,,,,,,,,
19:36:24:457,1.4,1.39,-15.35,,,,,,,,,
19:36:24:460,1.38,1.38,-8.88,,,,,,,,,
19:36:24:462,1.36,1.35,-25.38,,,,,,,,,
19:36:24:465,1.33,1.32,-15.85,,,,,,,,,
19:36:24:468,1.29,1.28,-12.08,,,,,,,,,
19:36:24:471,1.26,1.26,-4.55,,,,,,,,,
19:36:24:474,1.25,1.24,-6.55,,,,,,,,,
19:36:24:477,1.23,1.22,-20.86,,,,,,,,,
19:36:24:479,1.21,1.2,-11.87,,,,,,,,,
19:36:24:482,1.17,1.16,-12.72,,,,,,,,,
19:36:24:485,1.14,1.13,-21.45,,,,,,,,,
19:36:24:488,1.1,1.1,-7.55,,,,,,,,,
19:36:24:491,1.07,1.07,-2.76,,,,,,,,,
19:36:24:494,1.05,1.04,-12.87,,,,,,,,,
19:36:24:497,1.02,1.01,-16.63,,,,,,,,,
19:36:24:499,1,0.99,-6.75,,,,,,,,,
19:36:24:502,1,1,-2.28,,,,,,,,,
19:36:24:505,1.01,1.01,5.87,,,,,,,,,
19:36:24:507,1.02,1.03,2.45,,,,,,,,,
19:36:24:510,1.03,1.02,-4.88,,,,,,,,,
19:36:24:513,1.02,1.02,1.19,,,,,,,,,
19:36:24:516,1,0.99,-7.89,,,,,,,,,
19:36:24:519,0.98,0.97,-11.45,,,,,,,,,
19:36:24:521,0.95,0.95,0,,,,,,,,,
19:36:24:524,0.94,0.94,0,,,,,,,,,
19:36:24:527,0.94,0.95,7.68,,,,,,,,,
19:36:24:529,0.95,0.96,1.97,,,,,,,,,
19:36:24:532,0.96,0.95,-6.95,,,,,,,,,
19:36:24:535,0.93,0.92,-13.5,,,,,,,,,
19:36:24:538,0.9,0.89,-8.97,,,,,,,,,
19:36:24:540,0.89,0.89,0.79,,,,,,,,,
19:36:24:543,0.9,0.9,3.3,,,,,,,,,
19:36:24:546,0.91,0.91,2.59,,,,,,,,,
19:36:24:548,0.92,0.92,0.87,,,,,,,,,
19:36:24:551,0.91,0.9,-10.04,,,,,,,,,
19:36:24:554,0.89,0.88,-11.67,,,,,,,,,
19:36:24:557,0.86,0.86,-2.92,,,,,,,,,
19:36:24:560,0.86,0.87,5.88,,,,,,,,,
19:36:24:562,0.87,0.87,-2.22,,,,,,,,,
19:36:24:565,0.85,0.84,-10.41,,,,,,,,,
19:36:24:568,0.83,0.82,-11.36,,,,,,,,,
19:36:24:571,0.8,0.8,-1.76,,,,,,,,,
19:36:24:574,0.8,0.79,-3.97,,,,,,,,,
19:36:24:577,0.79,0.79,-4.99,,,,,,,,,
19:36:24:579,0.77,0.76,-7,,,,,,,,,
19:36:24:582,0.74,0.71,-20.02,,,,,,,,,
19:36:24:585,0.68,0.68,0.36,,,,,,,,,
19:36:24:588,0.66,0.64,-9.38,,,,,,,,,
19:36:24:590,0.61,0.59,-12.95,,,,,,,,,
19:36:24:593,0.56,0.53,-15.29,,,,,,,,,
19:36:24:596,0.49,0.47,-13.11,,,,,,,,,
19:36:24:599,0.45,0.43,-11.41,,,,,,,,,
