19:42:43:891,1.22,1.21,-10.24,,,,,,,,
19:42:43:894,1.21,1.23,26.8,,,,,,,,
19:42:43:897,1.23,1.24,12.88,,,,,,,,
19:42:43:900,1.25,1.26,13.33,,,,,,,,
19:42:43:902,1.26,1.26,2.26,,,,,,,,
19:42:43:905,1.26,1.24,-24.32,,,,,,,,
19:42:43:908,1.23,1.22,-16.64,,,,,,,,
19:42:43:911,1.19,1.19,-11.42,,,,,,,,
19:42:43:914,1.16,1.16,-8.78,,,,,,,,
19:42:43:917,1.14,1.14,-10.09,,,,,,,,
19:42:43:920,1.12,1.15,26.4,,,,,,,,
19:42:43:923,1.17,1.18,14.67,,,,,,,,
19:42:43:926,1.19,1.19,-5.75,,,,,,,,
19:42:43:929,1.18,1.17,-18.29,,,,,,,,
19:42:43:932,1.15,1.13,-23.47,,,,,,,,
19:42:43:934,1.11,1.1,-13.66,,,,,,,,
19:42:43:937,1.08,1.07,-7.08,,,,,,,,
19:42:43:940,1.06,1.06,-2.71,,,,,,,,
19:42:43:943,1.05,1.05,0,,,,,,,,
19:42:43:946,1.04,1.03,-10.12,,,,,,,,
19:42:43:949,1.02,1.01,-15.42,,,,,,,,
19:42:43:952,0.99,0.97,-16.02,,,,,,,,
19:42:43:955,0.95,0.93,-14.03,,,,,,,,
19:42:43:958,0.91,0.9,-15.06,,,,,,,,
19:42:43:961,0.88,0.87,-6.89,,,,,,,,
19:42:43:964,0.86,0.85,-10.77,,,,,,,,
19:42:43:967,0.84,0.82,-18.34,,,,,,,,
19:42:43:969,0.8,0.79,-11.94,,,,,,,,
19:42:43:972,0.77,0.75,-11.37,,,,,,,,
19:42:43:975,0.75,0.76,7.32,,,,,,,,
19:42:43:978,0.76,0.76,3.46,,,,,,,,
19:42:43:981,0.75,0.75,-0.97,,,,,,,,
19:42:43:984,0.74,0.73,-11.27,,,,,,,,
19:42:43:987,0.71,0.7,-7.57,,,,,,,,
19:42:43:990,0.69,0.68,-3.67,,,,,,,,
19:42:43:992,0.67,0.66,-7.54,,,,,,,,
19:42:43:995,0.65,0.64,-8.08,,,,,,,,
19:42:43:998,0.62,0.6,-9.78,,,,,,,,
19:42:44:001,0.59,0.58,-5.33,,,,,,,,
19:42:44:004,0.56,0.56,-4.36,,,,,,,,
19:42:44:007,0.53,0.52,-6.17,,,,,,,,
19:42:44:010,0.5,0.47,-11.68,,,,,,,,
19:42:44:013,0.45,0.44,-5.8,,,,,,,,
19:42:44:015,0.42,0.41,-7.13,,,,,,,,
19:42:44:018,0.37,0.35,-5.77,,,,,,,,
