19:38:25:790,1.32,1.31,-12.95,,,,,,,
19:38:25:793,1.31,1.31,-10.14,,,,,,,
19:38:25:796,1.28,1.27,-20.99,,,,,,,
19:38:25:799,1.24,1.23,-16.91,,,,,,,
19:38:25:802,1.2,1.19,-15.49,,,,,,,
19:38:25:804,1.18,1.18,0,,,,,,,
19:38:25:807,1.16,1.17,1.79,,,,,,,
19:38:25:810,1.17,1.16,-10.64,,,,,,,
19:38:25:813,1.14,1.13,-11.73,,,,,,,
19:38:25:815,1.1,1.08,-16.01,,,,,,,
19:38:25:818,1.05,1.03,-26.93,,,,,,,
19:38:25:821,1.01,1,-12.54,,,,,,,
19:38:25:824,0.99,0.98,-10.68,,,,,,,
19:38:25:827,0.97,0.96,-13.29,,,,,,,
19:38:25:830,0.95,0.94,-7.71,,,,,,,
19:38:25:833,0.92,0.9,-19.46,,,,,,,
19:38:25:835,0.88,0.87,-3.79,,,,,,,
19:38:25:838,0.87,0.88,3.02,,,,,,,
19:38:25:841,0.89,0.9,11.3,,,,,,,
19:38:25:844,0.91,0.91,-2.58,,,,,,,
19:38:25:846,0.9,0.88,-19.14,,,,,,,
19:38:25:849,0.86,0.84,-15.47,,,,,,,
19:38:25:852,0.83,0.82,-7.01,,,,,,,
19:38:25:855,0.82,0.82,-1.85,,,,,,,
19:38:25:858,0.82,0.81,-1.84,,,,,,,
19:38:25:860,0.81,0.81,-3,,,,,,,
19:38:25:863,0.79,0.79,-2.81,,,,,,,
19:38:25:866,0.77,0.76,-3.04,,,,,,,
19:38:25:869,0.75,0.75,0,,,,,,,
19:38:25:871,0.73,0.72,-8.16,,,,,,,
19:38:25:874,0.71,0.71,-1.23,,,,,,,
19:38:25:877,0.7,0.7,-1.96,,,,,,,
19:38:25:880,0.7,0.69,-1.9,,,,,,,
19:38:25:883,0.68,0.67,-6.89,,,,,,,
19:38:25:885,0.65,0.65,-1.87,,,,,,,
19:38:25:888,0.63,0.62,-7.22,,,,,,,
19:38:25:891,0.61,0.59,-10.23,,,,,,,
19:38:25:894,0.58,0.57,-8.33,,,,,,,
19:38:25:897,0.55,0.53,-13.39,,,,,,,
19:38:25:900,0.49,0.47,-10.72,,,,,,,
19:38:25:902,0.44,0.43,-8.22,,,,,,,
19:38:25:905,0.38,0.35,-11.86,,,,,,,
