encoder_times,encoder_accel,encoder_vel,acelerometer_times,acelerometer_accel
15727145.0,-6.53,0.84,15309316,3.05
15729964.0,-3.89,0.83,15309316,3.05
15732800.0,-7.35,0.82,15309316,3.05
15735685.0,2.4,0.81,15309316,3.05
15738583.0,-1.18,0.81,15309316,3.05
15741497.0,1.77,0.8,15309316,3.05
15744420.0,-10.75,0.8,15309316,3.05
15747393.0,-4.18,0.78,15309316,3.05
15750433.0,-3.6,0.77,15309316,3.05
15753495.0,-7.17,0.76,15309316,3.05
15756643.0,-11.92,0.71,15309316,3.05
15759992.0,-13.13,0.68,15309316,3.05
15763528.0,-8.61,0.65,15309316,3.05
15767221.0,-16.66,0.61,15309316,3.05
15771201.0,-15.48,0.55,15309316,3.05
15775653.0,-9.71,0.5,15309316,3.05
15780531.0,-18.35,0.43,15309316,3.05
15786420.0,-7.86,0.35,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
,,,15309316,3.05
