time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
19:36:09:3520,-0.0468,-0.0270,-0.1042,0.117
19:36:09:3520,-0.0468,-0.0270,-0.1042,0.117
19:36:09:3530,-0.0468,-0.0270,-0.1042,0.117
19:36:09:3670,-0.0468,-0.0270,-0.1042,0.117
19:36:09:3670,0.0211,-0.0136,-0.0629,0.068
19:36:09:3670,0.0211,-0.0136,-0.0629,0.068
19:36:09:3740,0.0211,-0.0136,-0.0629,0.068
19:36:09:3780,0.0211,-0.0136,-0.0629,0.068
19:36:09:3830,-0.0199,-0.0411,-0.0215,0.050
19:36:09:3880,-0.0199,-0.0411,-0.0215,0.050
19:36:09:3930,-0.0199,-0.0411,-0.0215,0.050
19:36:09:3970,-0.0199,-0.0411,-0.0215,0.050
19:36:09:4020,-0.0065,-0.0414,-0.0209,0.047
19:36:09:4069,-0.0065,-0.0414,-0.0209,0.047
19:36:09:4120,-0.0065,-0.0414,-0.0209,0.047
19:36:09:4170,-0.0065,-0.0414,-0.0209,0.047
19:36:09:4230,-0.0067,-0.0009,-0.0610,0.061
19:36:09:4270,-0.0067,-0.0009,-0.0610,0.061
19:36:09:4320,-0.0067,-0.0009,-0.0610,0.061
19:36:09:4370,-0.0067,-0.0009,-0.0610,0.061
19:36:09:4420,0.0067,-0.0286,-0.0191,0.035
19:36:09:4470,0.0067,-0.0286,-0.0191,0.035
19:36:09:4520,0.0067,-0.0286,-0.0191,0.035
19:36:09:4680,0.0067,-0.0286,-0.0191,0.035
19:36:09:4690,0.0065,-0.0429,-0.0043,0.044
19:36:09:4690,0.0065,-0.0429,-0.0043,0.044
19:36:09:4740,0.0065,-0.0429,-0.0043,0.044
19:36:09:4770,0.0065,-0.0429,-0.0043,0.044
19:36:09:4820,-0.0074,-0.0434,-0.0167,0.047
19:36:09:4870,-0.0074,-0.0434,-0.0167,0.047
19:36:09:4920,-0.0074,-0.0434,-0.0167,0.047
19:36:09:4970,-0.0074,-0.0434,-0.0167,0.047
19:36:09:5010,-0.0349,-0.0166,-0.0294,0.049
19:36:09:5070,-0.0349,-0.0166,-0.0294,0.049
19:36:09:5110,-0.0349,-0.0166,-0.0294,0.049
19:36:09:5160,-0.0349,-0.0166,-0.0294,0.049
19:36:09:5210,-0.0214,-0.0442,-0.0014,0.049
19:36:09:5260,-0.0214,-0.0442,-0.0014,0.049
19:36:09:5310,-0.0214,-0.0442,-0.0014,0.049
19:36:09:5360,-0.0214,-0.0442,-0.0014,0.049
19:36:09:5520,0.0056,-0.0310,-0.0278,0.042
19:36:09:5530,0.0056,-0.0310,-0.0278,0.042
19:36:09:5530,0.0056,-0.0310,-0.0278,0.042
19:36:09:5560,0.0056,-0.0310,-0.0278,0.042
19:36:09:5610,-0.0218,-0.0314,-0.0270,0.047
19:36:09:5649,-0.0218,-0.0314,-0.0270,0.047
19:36:09:5699,-0.0218,-0.0314,-0.0270,0.047
19:36:09:5760,-0.0218,-0.0314,-0.0270,0.047
19:36:09:5800,0.0191,-0.0317,0.0145,0.040
19:36:09:5850,0.0191,-0.0317,0.0145,0.040
19:36:09:5900,0.0191,-0.0317,0.0145,0.040
19:36:09:5950,0.0191,-0.0317,0.0145,0.040
19:36:09:6000,-0.0081,-0.0183,-0.0122,0.023
19:36:09:6070,-0.0081,-0.0183,-0.0122,0.023
19:36:09:6100,-0.0081,-0.0183,-0.0122,0.023
19:36:09:6150,-0.0081,-0.0183,-0.0122,0.023
19:36:09:6190,-0.0078,-0.0185,-0.0119,0.023
19:36:09:6250,-0.0078,-0.0185,-0.0119,0.023
19:36:09:6300,-0.0078,-0.0185,-0.0119,0.023
19:36:09:6350,-0.0078,-0.0185,-0.0119,0.023
19:36:09:6390,0.0058,-0.0321,-0.0119,0.035
19:36:09:6450,0.0058,-0.0321,-0.0119,0.035
19:36:09:6500,0.0058,-0.0321,-0.0119,0.035
19:36:09:6560,0.0058,-0.0321,-0.0119,0.035
19:36:09:6600,-0.0074,-0.0321,-0.0391,0.051
19:36:09:6640,-0.0074,-0.0321,-0.0391,0.051
19:36:09:6690,-0.0074,-0.0321,-0.0391,0.051
19:36:09:6889,-0.0074,-0.0321,-0.0391,0.051
19:36:09:6899,0.0066,-0.0457,-0.0119,0.048
19:36:09:6909,0.0066,-0.0457,-0.0119,0.048
19:36:09:6919,0.0066,-0.0457,-0.0119,0.048
19:36:09:7040,0.0066,-0.0457,-0.0119,0.048
19:36:09:7050,0.0066,-0.0457,-0.0119,0.048
19:36:09:7060,-0.0066,-0.0320,0.0151,0.036
19:36:09:7080,-0.0066,-0.0320,0.0151,0.036
19:36:09:7140,-0.0066,-0.0320,0.0151,0.036
19:36:09:7180,-0.0066,-0.0320,0.0151,0.036
19:36:09:7230,0.0074,-0.0319,0.0148,0.036
19:36:09:7280,0.0074,-0.0319,0.0148,0.036
19:36:09:7330,0.0074,-0.0319,0.0148,0.036
19:36:09:7400,0.0074,-0.0319,0.0148,0.036
19:36:09:7430,-0.0196,-0.0453,-0.0265,0.056
19:36:09:7480,-0.0196,-0.0453,-0.0265,0.056
19:36:09:7530,-0.0196,-0.0453,-0.0265,0.056
19:36:09:7580,-0.0196,-0.0453,-0.0265,0.056
19:36:09:7630,-0.0057,-0.0179,-0.0267,0.033
19:36:09:7680,-0.0057,-0.0179,-0.0267,0.033
19:36:09:7850,-0.0057,-0.0179,-0.0267,0.033
19:36:09:7860,-0.0057,-0.0179,-0.0267,0.033
19:36:09:7860,-0.0054,-0.0178,-0.0134,0.023
19:36:09:8000,-0.0054,-0.0178,-0.0134,0.023
19:36:09:8000,-0.0054,-0.0178,-0.0134,0.023
19:36:09:8010,-0.0054,-0.0178,-0.0134,0.023
19:36:09:8020,-0.0053,-0.0586,-0.0136,0.060
19:36:09:8080,-0.0053,-0.0586,-0.0136,0.060
19:36:09:8120,-0.0053,-0.0586,-0.0136,0.060
19:36:09:8169,-0.0053,-0.0586,-0.0136,0.060
19:36:09:8220,0.0085,-0.0176,-0.0138,0.024
19:36:09:8270,0.0085,-0.0176,-0.0138,0.024
19:36:09:8320,0.0085,-0.0176,-0.0138,0.024
19:36:09:8370,0.0085,-0.0176,-0.0138,0.024
19:36:09:8420,-0.0050,-0.0175,0.0133,0.023
19:36:09:8470,-0.0050,-0.0175,0.0133,0.023
19:36:09:8520,-0.0050,-0.0175,0.0133,0.023
19:36:09:8720,-0.0050,-0.0175,0.0133,0.023
19:36:09:8730,-0.0049,-0.0447,-0.0278,0.053
19:36:09:8730,-0.0049,-0.0447,-0.0278,0.053
19:36:09:8740,-0.0049,-0.0447,-0.0278,0.053
19:36:09:8760,-0.0049,-0.0447,-0.0278,0.053
19:36:09:8810,-0.0048,-0.0446,-0.0007,0.045
19:36:09:8860,-0.0048,-0.0446,-0.0007,0.045
19:36:09:8910,-0.0048,-0.0446,-0.0007,0.045
19:36:09:8970,-0.0048,-0.0446,-0.0007,0.045
19:36:09:9010,-0.0046,-0.0445,-0.0145,0.047
19:36:09:9060,-0.0046,-0.0445,-0.0145,0.047
19:36:09:9110,-0.0046,-0.0445,-0.0145,0.047
19:36:09:9160,-0.0046,-0.0445,-0.0145,0.047
19:36:09:9210,-0.0181,-0.0172,-0.0147,0.029
19:36:09:9260,-0.0181,-0.0172,-0.0147,0.029
19:36:09:9310,-0.0181,-0.0172,-0.0147,0.029
19:36:09:9360,-0.0181,-0.0172,-0.0147,0.029
19:36:09:9410,-0.0044,-0.0443,-0.0149,0.047
19:36:09:9460,-0.0044,-0.0443,-0.0149,0.047
19:36:09:9510,-0.0044,-0.0443,-0.0149,0.047
19:36:09:9680,-0.0044,-0.0443,-0.0149,0.047
19:36:09:9690,0.0094,-0.0306,-0.0151,0.035
19:36:09:9690,0.0094,-0.0306,-0.0151,0.035
19:36:09:9840,0.0094,-0.0306,-0.0151,0.035
19:36:09:9850,0.0094,-0.0306,-0.0151,0.035
19:36:09:9850,0.0095,-0.0441,0.0119,0.047
19:36:09:9850,0.0095,-0.0441,0.0119,0.047
19:36:09:9910,0.0095,-0.0441,0.0119,0.047
19:36:09:9950,0.0095,-0.0441,0.0119,0.047
19:36:09:9990,0.0096,-0.0304,-0.0020,0.032
19:36:10:0050,0.0096,-0.0304,-0.0020,0.032
19:36:10:0100,0.0096,-0.0304,-0.0020,0.032
19:36:10:0150,0.0096,-0.0304,-0.0020,0.032
19:36:10:0200,-0.0175,-0.0302,-0.0160,0.038
19:36:10:0250,-0.0175,-0.0302,-0.0160,0.038
19:36:10:0300,-0.0175,-0.0302,-0.0160,0.038
19:36:10:0350,-0.0175,-0.0302,-0.0160,0.038
19:36:10:0400,0.0098,-0.0436,-0.0164,0.048
19:36:10:0450,0.0098,-0.0436,-0.0164,0.048
19:36:10:0490,0.0098,-0.0436,-0.0164,0.048
19:36:10:0690,0.0098,-0.0436,-0.0164,0.048
19:36:10:0700,0.0098,-0.0298,-0.0304,0.044
19:36:10:0709,0.0098,-0.0298,-0.0304,0.044
19:36:10:0709,0.0098,-0.0298,-0.0304,0.044
19:36:10:0740,0.0098,-0.0298,-0.0304,0.044
19:36:10:0790,-0.0037,-0.0297,-0.0035,0.030
19:36:10:0840,-0.0037,-0.0297,-0.0035,0.030
19:36:10:0880,-0.0037,-0.0297,-0.0035,0.030
19:36:10:0940,-0.0037,-0.0297,-0.0035,0.030
19:36:10:0990,-0.0037,-0.0297,-0.0035,0.030
19:36:10:1050,-0.0037,-0.0295,-0.0310,0.043
19:36:10:1080,-0.0037,-0.0295,-0.0310,0.043
19:36:10:1130,-0.0037,-0.0295,-0.0310,0.043
19:36:10:1190,-0.0037,-0.0295,-0.0310,0.043
19:36:10:1230,0.0099,-0.0158,-0.0313,0.036
19:36:10:1280,0.0099,-0.0158,-0.0313,0.036
19:36:10:1330,0.0099,-0.0158,-0.0313,0.036
19:36:10:1380,0.0099,-0.0158,-0.0313,0.036
19:36:10:1429,-0.0038,-0.0430,-0.0314,0.053
