time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
19:31:36:0640,0.5113,0.2772,-0.0513,0.584
19:31:36:0650,0.5113,0.2772,-0.0513,0.584
19:31:36:0660,-0.1856,-0.0225,-0.0334,0.190
19:31:36:0670,-0.1856,-0.0225,-0.0334,0.190
19:31:36:0680,-0.1856,-0.0225,-0.0334,0.190
19:31:36:0690,-0.1856,-0.0225,-0.0334,0.190
19:31:36:0690,-0.1856,-0.0225,-0.0334,0.190
19:31:36:0700,-0.0653,0.0182,0.0655,0.094
19:31:36:0709,-0.0653,0.0182,0.0655,0.094
19:31:36:0760,-0.0653,0.0182,0.0655,0.094
19:31:36:1040,-0.0653,0.0182,0.0655,0.094
19:31:36:1050,0.0141,0.0317,0.1231,0.128
19:31:36:1060,0.0141,0.0317,0.1231,0.128
19:31:36:1070,0.0141,0.0317,0.1231,0.128
19:31:36:1070,0.0141,0.0317,0.1231,0.128
19:31:36:1080,-0.0290,0.0861,0.0032,0.091
19:31:36:1120,-0.0290,0.0861,0.0032,0.091
19:31:36:1160,-0.0290,0.0861,0.0032,0.091
19:31:36:1200,-0.0290,0.0861,0.0032,0.091
19:31:36:1250,-0.0038,0.0724,0.0056,0.073
19:31:36:1300,-0.0038,0.0724,0.0056,0.073
19:31:36:1350,-0.0038,0.0724,0.0056,0.073
19:31:36:1400,-0.0038,0.0724,0.0056,0.073
19:31:36:1590,-0.0732,0.0451,0.0075,0.086
19:31:36:1600,-0.0732,0.0451,0.0075,0.086
19:31:36:1610,-0.0732,0.0451,0.0075,0.086
19:31:36:1620,-0.0732,0.0451,0.0075,0.086
19:31:36:1650,0.0077,0.0179,0.1711,0.172
19:31:36:1700,0.0077,0.0179,0.1711,0.172
19:31:36:1750,0.0077,0.0179,0.1711,0.172
19:31:36:1800,0.0077,0.0179,0.1711,0.172
19:31:36:1850,-0.0202,0.0452,0.0881,0.101
19:31:36:1900,-0.0202,0.0452,0.0881,0.101
19:31:36:1960,-0.0202,0.0452,0.0881,0.101
19:31:36:2000,-0.0202,0.0452,0.0881,0.101
19:31:36:2050,-0.0072,0.0317,0.1126,0.117
19:31:36:2100,-0.0072,0.0317,0.1126,0.117
19:31:36:2140,-0.0072,0.0317,0.1126,0.117
19:31:36:2190,-0.0072,0.0317,0.1126,0.117
19:31:36:2240,-0.0214,0.0591,0.0271,0.068
19:31:36:2290,-0.0214,0.0591,0.0271,0.068
19:31:36:2340,-0.0214,0.0591,0.0271,0.068
19:31:36:2390,-0.0214,0.0591,0.0271,0.068
19:31:36:2450,-0.0491,0.0184,0.0504,0.073
19:31:36:2490,-0.0491,0.0184,0.0504,0.073
19:31:36:2550,-0.0491,0.0184,0.0504,0.073
19:31:36:2590,-0.0491,0.0184,0.0504,0.073
19:31:36:2770,-0.0216,0.0730,-0.0081,0.077
19:31:36:2780,-0.0216,0.0730,-0.0081,0.077
19:31:36:2780,-0.0216,0.0730,-0.0081,0.077
19:31:36:2790,-0.0216,0.0730,-0.0081,0.077
19:31:36:2829,-0.0206,0.0595,0.0016,0.063
19:31:36:2880,-0.0206,0.0595,0.0016,0.063
19:31:36:2960,-0.0206,0.0595,0.0016,0.063
19:31:36:2990,-0.0206,0.0595,0.0016,0.063
19:31:36:3030,0.0078,0.0597,0.0116,0.061
19:31:36:3080,0.0078,0.0597,0.0116,0.061
19:31:36:3130,0.0078,0.0597,0.0116,0.061
19:31:36:3190,0.0078,0.0597,0.0116,0.061
19:31:36:3250,-0.0179,0.0189,0.0901,0.094
19:31:36:3290,-0.0179,0.0189,0.0901,0.094
19:31:36:3330,-0.0179,0.0189,0.0901,0.094
19:31:36:3380,-0.0179,0.0189,0.0901,0.094
19:31:36:3449,-0.0299,0.0463,0.0463,0.072
19:31:36:3469,-0.0299,0.0463,0.0463,0.072
19:31:36:3520,-0.0299,0.0463,0.0463,0.072
19:31:36:3570,-0.0299,0.0463,0.0463,0.072
19:31:36:3620,-0.0011,0.0328,0.0161,0.037
19:31:36:3670,-0.0011,0.0328,0.0161,0.037
19:31:36:3720,-0.0011,0.0328,0.0161,0.037
19:31:36:3910,-0.0011,0.0328,0.0161,0.037
19:31:36:3930,-0.0133,0.0737,-0.0411,0.085
19:31:36:3930,-0.0133,0.0737,-0.0411,0.085
19:31:36:3940,-0.0133,0.0737,-0.0411,0.085
19:31:36:3970,-0.0133,0.0737,-0.0411,0.085
19:31:36:4020,0.0015,0.0465,-0.0299,0.055
19:31:36:4069,0.0015,0.0465,-0.0299,0.055
19:31:36:4120,0.0015,0.0465,-0.0299,0.055
19:31:36:4170,0.0015,0.0465,-0.0299,0.055
19:31:36:4220,0.0025,0.0739,-0.0184,0.076
19:31:36:4270,0.0025,0.0739,-0.0184,0.076
19:31:36:4310,0.0025,0.0739,-0.0184,0.076
19:31:36:4360,0.0025,0.0739,-0.0184,0.076
19:31:36:4410,-0.0102,0.0330,0.0345,0.049
19:31:36:4460,-0.0102,0.0330,0.0345,0.049
19:31:36:4510,-0.0102,0.0330,0.0345,0.049
19:31:36:4560,-0.0102,0.0330,0.0345,0.049
19:31:36:4730,-0.0102,0.0330,0.0345,0.049
19:31:36:4740,-0.0365,0.0467,0.0469,0.076
19:31:36:4750,-0.0365,0.0467,0.0469,0.076
19:31:36:4760,-0.0365,0.0467,0.0469,0.076
19:31:36:4840,-0.0365,0.0467,0.0469,0.076
19:31:36:4850,-0.0085,0.0603,-0.0219,0.065
19:31:36:4910,-0.0085,0.0603,-0.0219,0.065
19:31:36:4960,-0.0085,0.0603,-0.0219,0.065
19:31:36:5010,-0.0085,0.0603,-0.0219,0.065
19:31:36:5050,-0.0078,0.0740,-0.0222,0.078
19:31:36:5110,-0.0078,0.0740,-0.0222,0.078
19:31:36:5160,-0.0078,0.0740,-0.0222,0.078
19:31:36:5210,-0.0078,0.0740,-0.0222,0.078
19:31:36:5250,-0.0072,0.0740,-0.0222,0.078
19:31:36:5310,-0.0072,0.0740,-0.0222,0.078
19:31:36:5360,-0.0072,0.0740,-0.0222,0.078
19:31:36:5400,-0.0072,0.0740,-0.0222,0.078
19:31:36:5450,0.0070,0.0467,0.0321,0.057
19:31:36:5500,0.0070,0.0467,0.0321,0.057
19:31:36:5550,0.0070,0.0467,0.0321,0.057
19:31:36:5750,0.0070,0.0467,0.0321,0.057
19:31:36:5750,-0.0061,0.0331,0.0593,0.068
19:31:36:5760,-0.0061,0.0331,0.0593,0.068
19:31:36:5760,-0.0061,0.0331,0.0593,0.068
19:31:36:5800,-0.0061,0.0331,0.0593,0.068
19:31:36:5840,0.0216,0.0331,0.0320,0.051
19:31:36:5890,0.0216,0.0331,0.0320,0.051
19:31:36:5940,0.0216,0.0331,0.0320,0.051
19:31:36:6000,0.0216,0.0331,0.0320,0.051
19:31:36:6050,0.0084,0.0603,0.0318,0.069
19:31:36:6100,0.0084,0.0603,0.0318,0.069
19:31:36:6140,0.0084,0.0603,0.0318,0.069
19:31:36:6190,0.0084,0.0603,0.0318,0.069
19:31:36:6240,-0.0188,0.0739,-0.0226,0.080
19:31:36:6290,-0.0188,0.0739,-0.0226,0.080
19:31:36:6340,-0.0188,0.0739,-0.0226,0.080
19:31:36:6390,-0.0188,0.0739,-0.0226,0.080
19:31:36:6440,-0.0049,0.0603,0.0181,0.063
19:31:36:6490,-0.0049,0.0603,0.0181,0.063
19:31:36:6540,-0.0049,0.0603,0.0181,0.063
19:31:36:6610,-0.0049,0.0603,0.0181,0.063
19:31:36:6640,-0.0046,0.0603,0.0175,0.063
19:31:36:6690,-0.0046,0.0603,0.0175,0.063
19:31:36:6730,-0.0046,0.0603,0.0175,0.063
19:31:36:6899,-0.0046,0.0603,0.0175,0.063
19:31:36:6909,0.0093,0.0468,0.0711,0.086
19:31:36:6909,0.0093,0.0468,0.0711,0.086
19:31:36:6990,0.0093,0.0468,0.0711,0.086
19:31:36:6990,0.0093,0.0468,0.0711,0.086
19:31:36:7030,-0.0041,0.0604,0.0156,0.063
19:31:36:7090,-0.0041,0.0604,0.0156,0.063
19:31:36:7130,-0.0041,0.0604,0.0156,0.063
19:31:36:7180,-0.0041,0.0604,0.0156,0.063
19:31:36:7230,0.0097,0.0468,0.0279,0.055
19:31:36:7280,0.0097,0.0468,0.0279,0.055
19:31:36:7320,0.0097,0.0468,0.0279,0.055
19:31:36:7380,0.0097,0.0468,0.0279,0.055
19:31:36:7440,0.0097,0.0878,-0.0144,0.089
19:31:36:7480,0.0097,0.0878,-0.0144,0.089
19:31:36:7530,0.0097,0.0878,-0.0144,0.089
19:31:36:7570,0.0097,0.0878,-0.0144,0.089
