time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
19:42:29:5840,-0.1170,-0.1743,-0.0661,0.220
19:42:29:5850,0.0197,-0.0371,-0.1349,0.141
19:42:29:5860,0.0197,-0.0371,-0.1349,0.141
19:42:29:5860,0.0197,-0.0371,-0.1349,0.141
19:42:29:5930,0.0197,-0.0371,-0.1349,0.141
19:42:29:5940,-0.0339,-0.0770,-0.1084,0.137
19:42:29:6010,-0.0339,-0.0770,-0.1084,0.137
19:42:29:6040,-0.0339,-0.0770,-0.1084,0.137
19:42:29:6100,-0.0339,-0.0770,-0.1084,0.137
19:42:29:6140,0.0214,-0.1303,-0.0274,0.135
19:42:29:6330,0.0214,-0.1303,-0.0274,0.135
19:42:29:6340,0.0214,-0.1303,-0.0274,0.135
19:42:29:6350,0.0214,-0.1303,-0.0274,0.135
19:42:29:6360,0.0085,-0.0475,-0.0827,0.096
19:42:29:6480,0.0085,-0.0475,-0.0827,0.096
19:42:29:6490,0.0085,-0.0475,-0.0827,0.096
19:42:29:6500,0.0085,-0.0475,-0.0827,0.096
19:42:29:6540,-0.0179,-0.0465,-0.1379,0.147
19:42:29:6590,-0.0179,-0.0465,-0.1379,0.147
19:42:29:6640,-0.0179,-0.0465,-0.1379,0.147
19:42:29:6680,-0.0179,-0.0465,-0.1379,0.147
19:42:29:6730,0.0101,-0.0728,-0.0840,0.112
19:42:29:6780,0.0101,-0.0728,-0.0840,0.112
19:42:29:6840,0.0101,-0.0728,-0.0840,0.112
19:42:29:6879,0.0101,-0.0728,-0.0840,0.112
19:42:29:6939,0.0108,-0.1127,-0.0438,0.121
19:42:29:6979,0.0108,-0.1127,-0.0438,0.121
19:42:29:7030,0.0108,-0.1127,-0.0438,0.121
19:42:29:7080,0.0108,-0.1127,-0.0438,0.121
19:42:29:7120,-0.0023,-0.0845,-0.1126,0.141
19:42:29:7310,-0.0023,-0.0845,-0.1126,0.141
19:42:29:7320,-0.0023,-0.0845,-0.1126,0.141
19:42:29:7330,-0.0023,-0.0845,-0.1126,0.141
19:42:29:7340,0.0118,-0.0425,-0.1406,0.147
19:42:29:7380,0.0118,-0.0425,-0.1406,0.147
19:42:29:7430,0.0118,-0.0425,-0.1406,0.147
