time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
19:38:09:7040,0.0161,-0.0980,-0.0285,0.103
19:38:09:7090,-0.0111,-0.0956,-0.0172,0.098
19:38:09:7140,-0.0111,-0.0956,-0.0172,0.098
19:38:09:7190,-0.0111,-0.0956,-0.0172,0.098
19:38:09:7240,-0.0111,-0.0956,-0.0172,0.098
19:38:09:7290,-0.0111,-0.0660,-0.0740,0.100
19:38:09:7340,-0.0111,-0.0660,-0.0740,0.100
19:38:09:7390,-0.0111,-0.0660,-0.0740,0.100
19:38:09:7440,-0.0111,-0.0660,-0.0740,0.100
19:38:09:7490,-0.0112,-0.0911,-0.0215,0.094
19:38:09:7540,-0.0112,-0.0911,-0.0215,0.094
19:38:09:7590,-0.0112,-0.0911,-0.0215,0.094
19:38:09:7740,-0.0112,-0.0911,-0.0215,0.094
19:38:09:7750,0.0023,-0.0891,-0.0371,0.097
19:38:09:7760,0.0023,-0.0891,-0.0371,0.097
19:38:09:7810,0.0023,-0.0891,-0.0371,0.097
19:38:09:7830,0.0023,-0.0891,-0.0371,0.097
19:38:09:7880,-0.0114,-0.0870,-0.0391,0.096
19:38:09:7930,-0.0114,-0.0870,-0.0391,0.096
19:38:09:7980,-0.0114,-0.0870,-0.0391,0.096
19:38:09:8030,-0.0114,-0.0870,-0.0391,0.096
19:38:09:8080,-0.0250,-0.0712,-0.0549,0.093
19:38:09:8129,-0.0250,-0.0712,-0.0549,0.093
19:38:09:8179,-0.0250,-0.0712,-0.0549,0.093
19:38:09:8230,-0.0250,-0.0712,-0.0549,0.093
19:38:09:8270,0.0158,-0.0557,-0.0703,0.091
19:38:09:8320,0.0158,-0.0557,-0.0703,0.091
19:38:09:8370,0.0158,-0.0557,-0.0703,0.091
19:38:09:8420,0.0158,-0.0557,-0.0703,0.091
19:38:09:8570,0.0022,-0.0949,-0.0174,0.097
19:38:09:8580,0.0022,-0.0949,-0.0174,0.097
19:38:09:8580,0.0022,-0.0949,-0.0174,0.097
19:38:09:8640,0.0022,-0.0949,-0.0174,0.097
19:38:09:8670,-0.0114,-0.0798,-0.0597,0.100
19:38:09:8720,-0.0114,-0.0798,-0.0597,0.100
19:38:09:8770,-0.0114,-0.0798,-0.0597,0.100
19:38:09:8820,-0.0114,-0.0798,-0.0597,0.100
19:38:09:8870,-0.0114,-0.0648,-0.0611,0.090
19:38:09:8920,-0.0114,-0.0648,-0.0611,0.090
19:38:09:8970,-0.0114,-0.0648,-0.0611,0.090
19:38:09:9020,-0.0114,-0.0648,-0.0611,0.090
19:38:09:9070,-0.0114,-0.0648,-0.0611,0.090
19:38:09:9120,-0.0113,-0.0500,-0.0895,0.103
19:38:09:9160,-0.0113,-0.0500,-0.0895,0.103
19:38:09:9210,-0.0113,-0.0500,-0.0895,0.103
19:38:09:9260,-0.0113,-0.0500,-0.0895,0.103
19:38:09:9310,0.0160,-0.0762,-0.0360,0.086
19:38:09:9360,0.0160,-0.0762,-0.0360,0.086
19:38:09:9410,0.0160,-0.0762,-0.0360,0.086
19:38:09:9510,0.0160,-0.0762,-0.0360,0.086
19:38:09:9530,0.0026,-0.0753,-0.0505,0.091
19:38:09:9560,0.0026,-0.0753,-0.0505,0.091
19:38:09:9620,0.0026,-0.0753,-0.0505,0.091
19:38:09:9660,0.0026,-0.0753,-0.0505,0.091
19:38:09:9700,-0.0245,-0.0472,-0.0649,0.084
19:38:09:9760,-0.0245,-0.0472,-0.0649,0.084
19:38:09:9800,-0.0245,-0.0472,-0.0649,0.084
19:38:09:9860,-0.0245,-0.0472,-0.0649,0.084
19:38:09:9900,-0.0107,-0.0331,-0.0927,0.099
19:38:09:9950,-0.0107,-0.0331,-0.0927,0.099
19:38:10:0000,-0.0107,-0.0331,-0.0927,0.099
19:38:10:0050,-0.0107,-0.0331,-0.0927,0.099
19:38:10:0100,-0.0104,-0.0464,-0.0794,0.093
19:38:10:0150,-0.0104,-0.0464,-0.0794,0.093
19:38:10:0210,-0.0104,-0.0464,-0.0794,0.093
19:38:10:0250,-0.0104,-0.0464,-0.0794,0.093
19:38:10:0300,0.0034,-0.0599,-0.0659,0.089
19:38:10:0350,0.0034,-0.0599,-0.0659,0.089
19:38:10:0400,0.0034,-0.0599,-0.0659,0.089
19:38:10:0550,0.0034,-0.0599,-0.0659,0.089
19:38:10:0560,-0.0100,-0.0464,-0.0794,0.092
19:38:10:0560,-0.0100,-0.0464,-0.0794,0.092
19:38:10:0590,-0.0100,-0.0464,-0.0794,0.092
19:38:10:0650,-0.0100,-0.0464,-0.0794,0.092
19:38:10:0700,0.0038,-0.0467,-0.0927,0.104
19:38:10:0740,0.0038,-0.0467,-0.0927,0.104
19:38:10:0790,0.0038,-0.0467,-0.0927,0.104
19:38:10:0840,0.0038,-0.0467,-0.0927,0.104
19:38:10:0890,0.0039,-0.0473,-0.0786,0.092
19:38:10:0950,0.0039,-0.0473,-0.0786,0.092
19:38:10:1010,0.0039,-0.0473,-0.0786,0.092
19:38:10:1040,0.0039,-0.0473,-0.0786,0.092
19:38:10:1090,-0.0096,-0.0751,-0.0644,0.099
19:38:10:1140,-0.0096,-0.0751,-0.0644,0.099
19:38:10:1190,-0.0096,-0.0751,-0.0644,0.099
19:38:10:1240,-0.0096,-0.0751,-0.0644,0.099
19:38:10:1290,0.0042,-0.0622,-0.0773,0.099
19:38:10:1340,0.0042,-0.0622,-0.0773,0.099
19:38:10:1380,0.0042,-0.0622,-0.0773,0.099
19:38:10:1490,0.0042,-0.0622,-0.0773,0.099
19:38:10:1500,-0.0229,-0.0492,-0.0903,0.105
19:38:10:1530,-0.0229,-0.0492,-0.0903,0.105
19:38:10:1580,-0.0229,-0.0492,-0.0903,0.105
19:38:10:1630,-0.0229,-0.0492,-0.0903,0.105
19:38:10:1680,0.0044,-0.0500,-0.1032,0.115
19:38:10:1729,0.0044,-0.0500,-0.1032,0.115
19:38:10:1780,0.0044,-0.0500,-0.1032,0.115
19:38:10:1830,0.0044,-0.0500,-0.1032,0.115
19:38:10:1870,0.0317,-0.0781,-0.0751,0.113
19:38:10:1930,0.0317,-0.0781,-0.0751,0.113
19:38:10:1980,0.0317,-0.0781,-0.0751,0.113
19:38:10:2030,0.0317,-0.0781,-0.0751,0.113
19:38:10:2070,-0.0091,-0.0518,-0.0742,0.091
19:38:10:2130,-0.0091,-0.0518,-0.0742,0.091
19:38:10:2170,-0.0091,-0.0518,-0.0742,0.091
19:38:10:2220,-0.0091,-0.0518,-0.0742,0.091
19:38:10:2280,0.0045,-0.0526,-0.0870,0.102
19:38:10:2320,0.0045,-0.0526,-0.0870,0.102
19:38:10:2370,0.0045,-0.0526,-0.0870,0.102
19:38:10:2430,0.0045,-0.0526,-0.0870,0.102
19:38:10:2470,-0.0091,-0.0534,-0.0863,0.102
19:38:10:2520,-0.0091,-0.0534,-0.0863,0.102
19:38:10:2570,-0.0091,-0.0534,-0.0863,0.102
19:38:10:2740,-0.0091,-0.0534,-0.0863,0.102
19:38:10:2740,-0.0092,-0.0542,-0.0719,0.090
19:38:10:2750,-0.0092,-0.0542,-0.0719,0.090
19:38:10:2819,-0.0092,-0.0542,-0.0719,0.090
19:38:10:2819,-0.0092,-0.0542,-0.0719,0.090
19:38:10:2870,-0.0092,-0.0542,-0.0719,0.090
19:38:10:2920,0.0043,-0.0549,-0.0711,0.090
19:38:10:2970,0.0043,-0.0549,-0.0711,0.090
19:38:10:3020,0.0043,-0.0549,-0.0711,0.090
19:38:10:3070,0.0043,-0.0549,-0.0711,0.090
19:38:10:3120,0.0041,-0.0828,-0.0569,0.101
19:38:10:3160,0.0041,-0.0828,-0.0569,0.101
19:38:10:3220,0.0041,-0.0828,-0.0569,0.101
19:38:10:3280,0.0041,-0.0828,-0.0569,0.101
19:38:10:3310,0.0039,-0.0425,-0.0836,0.094
19:38:10:3360,0.0039,-0.0425,-0.0836,0.094
19:38:10:3410,0.0039,-0.0425,-0.0836,0.094
19:38:10:3459,0.0039,-0.0425,-0.0836,0.094
19:38:10:3510,0.0037,-0.0566,-0.0559,0.080
19:38:10:3560,0.0037,-0.0566,-0.0559,0.080
19:38:10:3700,0.0037,-0.0566,-0.0559,0.080
19:38:10:3710,0.0037,-0.0566,-0.0559,0.080
19:38:10:3710,-0.0237,-0.0707,-0.0554,0.093
19:38:10:3760,-0.0237,-0.0707,-0.0554,0.093
19:38:10:3800,-0.0237,-0.0707,-0.0554,0.093
19:38:10:3850,-0.0237,-0.0707,-0.0554,0.093
19:38:10:3900,0.0033,-0.0711,-0.0550,0.090
19:38:10:3950,0.0033,-0.0711,-0.0550,0.090
19:38:10:4000,0.0033,-0.0711,-0.0550,0.090
19:38:10:4050,0.0033,-0.0711,-0.0550,0.090
19:38:10:4110,0.0032,-0.0577,-0.0684,0.090
19:38:10:4150,0.0032,-0.0577,-0.0684,0.090
19:38:10:4210,0.0032,-0.0577,-0.0684,0.090
19:38:10:4250,0.0032,-0.0577,-0.0684,0.090
19:38:10:4310,0.0030,-0.0580,-0.0681,0.090
19:38:10:4350,0.0030,-0.0580,-0.0681,0.090
19:38:10:4400,0.0030,-0.0580,-0.0681,0.090
19:38:10:4540,0.0030,-0.0580,-0.0681,0.090
19:38:10:4550,0.0165,-0.0716,-0.0272,0.078
19:38:10:4550,0.0165,-0.0716,-0.0272,0.078
19:38:10:4610,0.0165,-0.0716,-0.0272,0.078
19:38:10:4650,0.0165,-0.0716,-0.0272,0.078
19:38:10:4690,-0.0108,-0.0715,-0.0546,0.091
19:38:10:4750,-0.0108,-0.0715,-0.0546,0.091
19:38:10:4790,-0.0108,-0.0715,-0.0546,0.091
19:38:10:4840,-0.0108,-0.0715,-0.0546,0.091
19:38:10:4890,-0.0109,-0.0578,-0.0819,0.101
19:38:10:4950,-0.0109,-0.0578,-0.0819,0.101
19:38:10:4990,-0.0109,-0.0578,-0.0819,0.101
19:38:10:5040,-0.0109,-0.0578,-0.0819,0.101
19:38:10:5090,0.0162,-0.0712,-0.0549,0.091
19:38:10:5140,0.0162,-0.0712,-0.0549,0.091
19:38:10:5190,0.0162,-0.0712,-0.0549,0.091
19:38:10:5240,0.0162,-0.0712,-0.0549,0.091
19:38:10:5280,-0.0111,-0.0981,-0.0552,0.113
19:38:10:5340,-0.0111,-0.0981,-0.0552,0.113
19:38:10:5400,-0.0111,-0.0981,-0.0552,0.113
19:38:10:5500,-0.0111,-0.0981,-0.0552,0.113
19:38:10:5520,0.0025,-0.0706,-0.0419,0.082
19:38:10:5530,0.0025,-0.0706,-0.0419,0.082
19:38:10:5590,0.0025,-0.0706,-0.0419,0.082
19:38:10:5629,0.0025,-0.0706,-0.0419,0.082
19:38:10:5679,0.0160,-0.0701,-0.0559,0.091
19:38:10:5729,0.0160,-0.0701,-0.0559,0.091
19:38:10:5780,0.0160,-0.0701,-0.0559,0.091
19:38:10:5830,0.0160,-0.0701,-0.0559,0.091
19:38:10:5870,0.0023,-0.0561,-0.0836,0.101
19:38:10:5940,0.0023,-0.0561,-0.0836,0.101
19:38:10:5980,0.0023,-0.0561,-0.0836,0.101
